reward,timestep

-80.523248,264
-74.168368,284
-95.343357,292
-11.676802,328
-14.132871,344
-33.911612,360
-64.62587,544
-33.332882,660
-28.23575,740
-92.60744,1000
-124.324987,1360
-1171.36813,4004
-22.961255,4080
-16.252891,4168
-65.450779,4320
-1087.204253,4328
-1033.854217,4360
-63.701555,4480
-40.239145,4600
-29.696546,4672
-93.213641,4704
-69.054152,5032
-1056.936481,5360
-133.196601,5380
-41.507436,5568
-66.350568,5576
-42.048554,5676
-51.602625,5772
-89.137744,5952
-99.925883,6140
-62.617967,6188
-42.19252,6400
-83.934395,6624
-1061.853113,8480
-13.104967,8568
-1122.881008,8672
-1047.077336,10140
2.994529,10228
-21.067786,10288
-16.872966,10356
-1073.760714,10624
-12.859316,10668
-107.139395,11052
-33.257673,11224
-44.817185,11444
-101.225975,11636
-123.278722,12024
-1089.050088,12568
-1076.336691,12672
-27.286017,12684
-83.428028,12880
-70.014323,12944
-41.521905,13312
-168.425264,13608
-72.527028,13692
-987.480854,14356
-136.105483,14820
-16.960856,14900
-32.128253,14956
-25.631656,15036
-969.855134,16024
-8.434961,16096
-48.564925,16392
-136.769768,16996
-70.245836,17376
-1056.998541,17608
-1006.839405,17692
-158.122701,17824
-66.566605,17900
-32.648202,17948
-45.910825,18028
-72.492993,18108
-61.965986,18252
-96.076824,18376
-19.684391,18380
-50.197686,18520
-141.878052,18548
-16.121687,18572
-53.162802,18880
-16.841652,18960
-109.993432,18996
-1018.337876,19036
-148.070684,19052
-39.362409,19160
-73.794026,19336
-28.842904,19420
-114.699046,19428
-36.316787,19548
-36.030333,19608
-89.614763,19892
-33.634673,20100
-114.942958,20556
-21.693248,20604
-17.387043,20684
-35.742547,20856
-959.108246,22960
-61.209177,23132
-994.09231,23160
-21.13496,23288
-15.660702,23328
-11.735655,23428
-75.699078,23444
-941.588887,23548
-64.159259,23628
-58.425458,23744
-31.758659,23752
-70.537036,23756
-37.101706,24044
-20.369936,24156
-135.429217,24192
-20.026777,24244
-34.098559,24380
-10.551566,24472
-80.513632,24492
-50.680454,24664
-54.774404,24688
-278.222285,24816
-963.354044,24856
-83.840995,24972
-27.169253,24976
-56.91993,25012
21.859148,25092
-46.592266,25108
-93.643766,25128
-91.76137,25340
-110.41062,25348
-8.315667,25420
-89.532256,25804
-25.112578,25876
-20.682927,25972
-29.11825,26188
-52.455404,26348
-126.100581,27024
-197.605046,27820
-117.665604,28408
-80.440192,28580
-18.104187,28644
-10.519697,28692
-47.675102,28844
-23.797019,28968
-1027.049329,29092
-968.902566,29108
-14.89629,29192
-1038.694813,29340
-201.385854,29700
-47.671971,29876
-38.598601,30140
-1010.898584,33092
-952.929336,33192
-986.867441,33340
-55.213068,33376
-66.6921,33584
-77.645946,33752
-970.6528,34140
-47.3524,34400
-191.931955,34464
-23.028294,34556
-37.974083,34644
-18.703526,34680
-24.483915,34724
-101.556437,35136
-71.377671,35200
-2.557583,35336
-106.803863,35484
-77.639634,35556
-22.442914,35664
-100.217403,36024
-60.951049,36292
-30.707545,36360
-40.437011,36560
-17.159286,36628
-902.464479,37092
-164.323901,37176
-19.210859,37276
-10.108183,37372
-127.508676,37488
-18.209182,37524
-55.062965,37620
-55.458471,37696
-959.35406,37752
-17.774303,37852
-64.199189,38052
-99.963349,38060
-74.605995,38068
-18.79406,38144
-934.566452,39664
-8.194811,39708
-10.525423,39748
-29.649567,39952
-936.65443,42052
-970.040288,42060
-9.649364,42140
-898.872982,42144
-47.306668,42148
-35.613797,42324
-31.552625,42344
-10.573572,42416
-30.064774,42480
-56.240468,42624
-82.044651,42744
-35.362358,42748
-53.370003,42760
-28.112757,42828
-9.485717,42868
-43.217382,42880
-21.170861,43048
-31.857164,43232
-59.014555,43252
-24.327552,43356
-23.862159,43464
-24.147627,43528
-13.730281,43600
-6.14323,43676
-43.03711,43812
-146.706373,43884
-53.52333,43936
-936.139146,43952
-88.444519,44240
-92.18292,44800
-30.187212,44924
-66.900927,45088
-151.378207,45584
-37.294965,45792
-135.38847,46244
-868.737734,46748
-878.511126,47936
-859.077119,47952
-14.520399,48032
-14.099422,48228
-60.621805,48292
-67.425516,48408
-34.418513,48512
-101.735163,48800
-10.501617,48884
-130.696408,48896
-41.241337,49068
-52.635256,49176
-108.747081,49520
-32.917254,49608
-6.341421,49684
-4.170765,49760
-157.073198,49768
-2.76292,49808
-20.948121,49892
-81.92063,50124
-79.005276,50128
-835.62379,50244
6.007474,50256
-47.070481,50424
-25.977511,50496
-59.310222,50624
-38.130026,50632
-132.005053,50720
-44.821328,50728
-874.375046,50748
-24.605766,50836
-28.235467,50992
-43.278103,51216
-68.675673,51628
-39.176443,51820
-5.201077,51860
-57.510956,52072
-83.174046,52288
-58.595692,52460
-67.626263,52716
-46.538482,52872
-870.796444,54632
-5.235136,54700
-807.162117,54720
-892.783209,54748
-46.013144,54892
23.195493,54924
-17.116469,54964
-5.064261,55020
-75.004124,55092
-27.461974,55140
-31.020618,55256
-37.471014,55560
-70.868388,55688
-44.879735,55692
-60.125605,55880
-49.504432,56016
-30.012644,56192
-22.501125,56300
-171.310936,56388
-56.806412,56624
-869.594877,56872
-35.153345,57028
-164.288881,57252
-196.218056,57280
-15.555039,57420
-17.653813,57620
-50.977062,57776
-6.984163,57860
-28.366118,57880
-55.229676,58100
-101.88034,58268
-83.473315,58588
-31.546243,58676
-35.594572,58772
-272.775097,58912
-899.041706,58924
-12.26502,59008
-26.50718,59020
-53.00876,59028
35.106953,59316
-36.208838,59408
-113.627961,59520
-43.785586,59596
-53.344502,59864
-197.6906,59944
-118.98641,60224
-10.399978,60312
-80.787852,60376
-7.833562,60416
-24.729489,60600
-59.009777,60668
-342.592067,60696
-76.524995,60920
-8.743632,61004
-105.220847,61032
-22.719131,61080
-814.242497,61280
-104.589986,61312
-13.087923,61396
-206.208711,61820
-116.315513,61860
-30.547701,61948
7.317699,62004
-177.674634,62068
-38.798043,62156
-17.08943,62188
-51.246129,62240
-31.433888,62356
-10.654458,62400
-11.686256,62520
-109.725461,63000
-114.203664,63084
-32.807088,63452
-157.760478,63524
-47.249332,63588
-50.423247,63800
-60.706631,64024
-4.039955,64164
-185.771979,64232
-24.429543,64288
-24.530606,64404
-34.84839,64576
0.669603,64640
-12.447378,64692
-854.570178,64696
-17.107556,64876
-61.445941,64940
-130.452001,65120
-100.068673,65808
-68.10548,66004
-42.150886,66176
-96.652569,66360
-70.17784,66444
-36.428353,66452
-24.588949,66580
-49.236398,66688
-20.603704,66868
-1.527491,67036
-771.520832,68876
-772.373448,68940
-68.051339,69232
-12.578953,69300
-39.468013,69456
-649.957943,70328
-749.266913,70580
-69.955152,70588
-20.414594,70664
-47.236158,70848
-42.901882,70988
-77.12551,71008
-45.596523,71120
-27.988565,71296
-62.383387,71688
-38.221069,71908
-226.093117,72692
-825.849739,72876
-14.572031,72920
-57.679291,72964
-5.711794,73136
-59.625138,73172
-39.794772,73448
-865.148851,73456
-21.791141,73616
-90.0934,73732
-112.107697,73872
-38.135448,73988
-96.601022,74364
-57.364567,74664
1.963101,74796
-801.555727,75008
-130.475297,75684
-843.662882,77616
-770.812802,77732
-94.055571,78296
-9.468044,78356
-112.686263,78668
-784.734812,78796
-20.028806,78832
-801.674539,79684
-93.432335,79932
-23.679177,80064
-55.20649,80268
-46.513061,80476
-37.201381,80680
-795.224881,81732
-201.537131,81872
-37.193686,81884
-12.67338,81944
-17.952425,82008
-752.474609,82796
-836.191203,82832
-767.450793,85944
-780.600543,86008
-10.649957,86036
-2.671362,86096
-29.106663,86252
-15.168404,86356
-19.371949,86644
-758.975072,86796
-701.668442,86832
-19.600499,86888
-31.456833,86984
-56.955172,87004
-5.829039,87060
-42.439457,87204
-14.609303,87292
-18.841197,87372
-69.965048,87396
-32.867892,87544
-66.749095,87668
-58.349202,88112
-107.51247,88304
-74.001395,89124
-726.190235,90008
-151.876624,90552
-23.899054,90684
-66.493907,90892
-141.128809,91520
-736.252661,91544
-29.531582,91736
-50.736248,92060
-658.546896,92112
-73.7918,92140
-51.713606,92296
-132.778106,92984
-161.088995,92988
-4.269649,93108
-695.556024,93124
1.147808,93172
-83.481888,93416
-62.137829,93464
-18.142214,93536
-43.769475,93832
-612.252308,96112
-62.397436,96424
-20.569368,96700
-87.837308,96948
-712.863724,97172
-56.222094,97336
-681.459733,97464
-51.207338,97608
-20.224648,97628
-17.846578,97756
-691.996447,97832
11.878897,97940
-69.143644,98152
2.294308,98196
-21.772942,98308
-607.952816,100948
-29.402122,101044
-71.519942,101308
-26.477283,101464
-6.045763,101640
-689.680173,101756
-42.560284,102004
-595.263507,102196
-646.88098,102308
-167.377245,102428
-17.82194,102576
-14.614852,102676
-50.361235,102720
-104.906116,103176
-1.747093,103324
-22.232145,103468
-263.124168,103680
-708.880977,106004
-598.18116,106196
-95.155571,106324
-74.982727,106636
-20.513873,106648
-24.795037,106852
-9.90268,106944
-686.398241,107468
-616.128443,107680
-88.439038,108092
-46.696046,108488
-53.147342,108984
-524.903595,110636
-2.673574,110748
-2.690791,110820
-556.3738,110944
-46.746242,111356
-609.923165,111468
-44.470187,111520
-75.318524,112188
-10.474966,112280
-26.529421,112476
-19.491491,112540
-30.599864,112732
-584.414211,112984
-81.360466,113056
-9.65213,113080
-16.774165,113204
-75.811915,113872
-1.55908,113932
-5.483931,114040
-26.280111,114148
-114.793922,114260
-24.847077,114284
-46.63231,114484
-31.353246,114900
-675.709285,114944
-108.155197,115112
-46.776683,115184
7.146534,115280
-4.170475,115356
-36.879492,115368
-598.977084,115520
-23.032335,115548
0.811251,115656
-10.199344,115720
-74.540659,115776
-84.362888,115780
3.947814,115860
5.965033,115872
-39.064259,116012
-25.928746,116080
-8.251854,116196
-77.355732,116364
14.676996,116404
