reward,timestep

-80.523248,264
-74.168368,284
-95.343357,292
-11.676802,328
-14.132871,344
-33.911612,360
-64.62587,544
-33.332882,660
-28.23575,740
-92.60744,1000
-124.324987,1360
-1171.36813,4004
-22.961255,4080
-16.252891,4168
-65.450779,4320
-1087.204253,4328
-1033.854217,4360
-63.701555,4480
-40.239145,4600
-29.696546,4672
-93.213641,4704
-69.054152,5032
-1056.936481,5360
-133.196601,5380
-41.507436,5568
-66.350568,5576
-42.048554,5676
-51.602625,5772
-89.137744,5952
-99.925883,6140
-62.617967,6188
-42.19252,6400
-83.934395,6624
-1060.779104,8480
-21.490675,8584
-1116.691843,8672
-83.666654,8840
-51.00186,9020
-17.230827,9076
-22.520254,9132
-145.874967,9788
-1030.358447,10140
-113.095901,10160
-29.201433,10360
-51.79139,10372
-20.127168,10432
-31.600286,10480
-67.567762,10588
-1019.581018,10624
-118.208305,11136
-78.849087,11312
-111.854576,11536
-54.709365,11736
-12.694621,11792
-1123.353868,12672
-46.409427,12856
-14.975944,12928
-11.61061,13060
-101.995966,13528
-41.785546,13768
-1029.556276,14480
-42.233274,14616
-1036.764822,14624
-1.030548,14668
-31.745539,14736
-115.543215,14908
-168.78648,15372
-999.868508,15792
-223.634907,15816
-168.451614,15820
-78.732538,16028
-23.283404,16064
1.553617,16116
-14.605804,16144
-105.419894,16692
-102.79826,17052
-21.103024,17132
-18.060687,17312
-96.525047,17584
-24.439371,17644
-996.963507,17768
-62.196614,17776
-62.90519,18004
-71.259585,18256
-149.568831,18372
-18.08441,18428
-32.265715,18524
-82.958061,18812
-29.401124,18960
-227.085,19780
-1008.096961,19792
-47.618387,20012
-1098.729845,20064
-60.986708,20352
-22.980726,20484
-123.181415,20872
-167.90513,20936
-118.657302,21280
-2.61115,21328
-47.873888,21676
-223.366547,21848
-45.468182,21884
-63.063074,22144
-960.782102,22256
-76.574574,22272
-25.136412,22392
-25.097426,22484
-89.208448,22512
-68.743145,22552
-28.112007,22608
-45.21929,22616
-29.807383,22628
-14.513255,22676
-9.255219,22860
-75.300638,22888
-38.89666,23008
-46.914038,23036
-137.957202,23096
-50.749427,23328
-12.590129,23388
-14.922937,23456
-133.99028,23492
-12.952195,23496
-64.581476,23764
-913.098346,23780
-125.233139,23824
-36.787195,23936
-82.215365,23956
-33.271647,24056
-87.909245,24268
-52.854732,24412
-22.620621,24464
-29.656872,24592
-2.943741,24648
-12.251315,24696
-94.129972,25516
-96.999064,25844
-35.718171,25984
-5.873176,26024
-27.363795,26132
-171.832073,26752
-932.601226,27036
-32.351929,27152
-13.341084,27240
-110.299121,27612
-1030.563971,27780
-50.719398,28024
-1014.24483,28056
-22.463978,28168
-23.041442,28256
-78.849572,28428
-948.342215,30752
-59.344799,30884
-13.945785,31168
-927.330486,31612
-977.692235,32256
-940.858282,32428
-73.745133,32556
-77.49438,32872
-17.594486,32944
-98.459506,33244
-31.638902,33396
-57.349156,33704
-57.397161,33932
-991.420379,35168
-310.23934,35244
-45.101241,35276
-68.124441,35492
-1004.50725,35612
8.762079,35924
-143.392408,36032
-13.644327,36104
0.205975,36200
-9.566195,36388
-78.558811,36432
-992.426142,36556
-36.483861,36616
-17.268771,36744
-104.491884,36964
-67.610116,37208
-12.851967,37472
-84.633291,37780
-5.733804,37824
-67.825484,38112
-30.22518,38392
-69.359147,38824
-960.867126,39276
-54.712603,39500
15.16408,39616
-33.784687,39804
-59.171504,40024
-7.484329,40068
-38.448457,40200
-22.595563,40276
-943.661098,40388
-52.097373,40500
-22.737166,40600
-31.394879,40684
-75.193721,40696
-951.097355,40744
-54.049799,40860
-35.790958,40880
-82.299731,41144
-79.66066,41204
-83.083885,41212
-27.869575,41332
-16.621662,41408
-39.313566,41500
-68.555535,41544
-78.477437,41556
-97.195282,41836
-76.845392,42064
-131.772739,42188
-32.439189,42220
-107.693328,42276
-12.120755,42420
-82.981947,42496
-35.720089,42552
-956.890507,42824
-172.293741,42852
-19.747054,42940
-132.290063,42960
-103.777272,42964
-32.114697,43036
-41.146793,43168
-41.494018,43252
-68.98815,43264
-42.122701,43360
-115.067274,43364
-53.532386,43396
-36.240714,43492
-26.932982,43640
-7.709021,43800
-121.071887,43988
-90.109619,44392
-14.341626,44584
-29.996283,44764
-25.79639,44932
-25.861343,45024
-67.76719,45344
-18.525891,45400
-10.997015,45440
-36.840987,45640
-240.472993,46688
-916.144262,47168
-10.614597,47248
-189.139958,47308
-19.836646,47344
-918.49003,47396
-68.180852,47588
-30.872564,47672
-68.937193,47776
-835.873599,47800
-51.675565,47812
-17.684053,47948
-95.94175,48260
-163.314574,48352
-76.751111,48476
-185.517333,48516
-119.865501,48712
-26.243101,48852
-65.854995,48884
-910.178901,51776
-29.347544,51904
-42.856931,52144
-828.868257,52476
-840.508665,52852
-153.296311,52876
-872.110017,52884
-68.082365,53100
-39.600712,53224
-66.858017,53236
-41.607781,53484
-66.547685,53496
8.151995,53640
-132.299912,53728
-117.258953,53800
-106.484886,54052
-20.964429,54116
-153.774543,54240
-36.180138,54428
-212.261165,54476
-11.549612,54600
-20.310703,54696
-117.675852,54800
-84.673296,54816
-59.7085,54944
-51.889565,54960
-45.687374,55012
-25.108337,55176
2.420553,55276
-15.64645,55404
-23.754599,55476
-30.349841,55556
-21.459532,55584
-10.179982,55640
-163.496645,55660
-2.303344,55688
-15.642221,55764
-45.674672,55820
-21.506796,55896
-91.053115,56040
-863.776112,56144
-118.690294,56176
-17.548547,56288
-74.973139,56320
-59.293142,56368
-37.184686,56520
-81.54966,56528
-27.562649,56592
-34.804106,56616
-53.892968,56732
-76.335405,56852
-136.023656,57004
-45.992069,57224
-29.586298,57280
-27.640785,57424
-150.057213,57512
-2.844946,57580
-22.183245,57596
-4.658394,57632
-26.222172,57776
-46.590486,57884
-866.594677,59896
-18.08296,60016
-76.539999,60404
-40.901591,60616
-890.098791,60732
-16.248577,60780
-45.082068,60888
-43.030155,60892
-5.753166,61076
-116.032352,61368
-81.395745,61664
-868.554394,61776
-37.172658,61840
-4.470224,61876
-858.354757,61884
-25.71188,61916
-26.284319,62004
-26.399177,62056
-21.490673,62216
-82.89379,62380
-13.814003,62452
-36.693442,62524
-133.056719,62592
-28.596851,62616
-12.400301,62712
-29.851383,62828
-19.120992,62960
-26.885139,63032
-47.405468,63044
-25.526965,63132
-2.542301,63200
-15.78025,63336
-907.485197,65076
-113.373792,65508
-44.489089,65884
-92.92098,66276
-864.937367,66452
-20.441608,66648
-134.768628,66932
-1.970738,67068
-794.459776,67132
-5.869885,67204
-784.613479,67336
-50.787659,67512
-17.584409,67688
-181.373122,67860
-158.028234,68280
-74.484457,68552
-193.797342,69296
-5.669982,69644
-820.689639,70648
-72.310475,70976
-56.017157,71148
-742.076807,71204
-26.958324,71248
-28.539959,71356
-56.032292,71648
-852.112637,71860
-17.94158,71932
-129.704214,71992
-96.205704,72536
-175.399536,72988
-87.261468,72996
-87.913799,73332
-831.150346,73644
-2.884724,73700
-41.742461,73772
-10.567094,73824
-6.014654,73996
-79.636931,74276
-198.314314,74384
-39.278205,74440
-23.090232,74532
-71.083112,74856
-98.001695,75340
-175.273163,75604
-115.164116,75776
-24.377145,75860
-824.805113,75992
-113.847549,76068
-58.620809,76220
-4.551964,76272
-83.372191,76512
-5.75184,76580
-52.286253,76668
-51.474136,76740
-86.177463,76904
-40.338486,76928
-759.184638,76996
-16.170637,77040
-70.25419,77316
-116.294414,77440
-108.791506,77680
-13.359649,77768
-5.285972,77832
-62.994578,77900
-23.739306,77968
-32.712401,78084
-55.482242,78192
-20.962186,78208
-24.955144,78276
-45.387999,78320
-144.198116,78476
-148.492217,78712
-69.620666,78860
-130.07868,78864
-5.089252,78972
-28.632093,78980
-19.18786,79072
-31.606562,79272
-9.390973,79444
-125.723886,79612
-24.860896,79732
-49.273504,79740
-807.478484,79992
-73.090885,80080
-13.551612,80284
-9.785716,80344
-29.15259,80500
-79.632666,80748
-28.69639,80900
-63.414121,81128
-23.542116,81360
-129.539475,81856
-788.641761,82712
-210.743712,82852
3.481561,82912
-61.241316,82992
-30.73966,83072
-45.035472,83160
-61.63413,83300
-29.159388,83472
5.033536,83696
-740.291418,83740
-36.721819,83820
-45.351658,83912
-751.871298,83992
-21.29664,84028
-27.258027,84068
-80.509964,84116
-29.305439,84208
-12.607446,84248
-48.916765,84484
-152.505976,84516
-26.212771,84556
-27.842434,84696
-2.562539,84740
-15.58561,84888
-25.400631,84936
-17.263767,85024
-14.091347,85128
-232.150098,85172
-14.697394,85204
-79.369019,85276
-60.778678,85332
-117.926279,85684
-74.955137,86292
-176.895183,86536
-48.659777,86708
-51.762999,86868
-23.615268,86972
4.793462,87068
-82.534065,87292
-749.184219,87300
-46.017354,87444
-21.160804,87520
-849.913376,89332
-10.943114,89392
-66.725587,89528
-101.522575,90084
-38.847846,90256
-712.913753,90292
-32.754282,90400
-55.485073,90436
-36.110502,90736
-749.276849,91444
-716.063004,91520
8.388535,91952
-99.470683,91956
-36.334072,92068
-26.022632,92232
-81.905345,92488
-8.158897,92548
-17.000438,92640
-8.194553,92684
-27.811971,92848
-31.89055,93036
-131.06313,93232
-96.2874,93528
-124.416367,93996
-17.104839,94056
-66.596853,94352
-690.028004,94436
-5.599306,94600
-17.9539,94668
-816.140231,94736
-22.716045,94896
-88.17862,94992
-56.539343,95180
-88.086028,95588
-155.446278,95604
-79.763775,95860
-55.251173,95936
-14.767428,96104
-15.526974,96188
-51.078149,96396
-21.063293,96696
-47.95342,96824
-31.09866,96884
-46.399868,97008
-164.552695,97172
-7.578962,97388
-704.110951,97528
-21.035365,97664
-53.321877,97868
-719.797188,98352
-71.929653,98532
8.663144,98608
-75.589187,99080
-36.251118,99188
-58.753446,99464
-148.852942,100220
