reward,timestep

-98.518537,360
-108.635042,396
-70.255034,520
-54.678413,532
-81.557114,672
-48.36021,680
-62.786241,868
-20.54814,920
-40.197635,1116
-38.433475,1312
-1095.095889,4004
-36.587769,4112
-1101.409535,4532
-19.782019,4584
-7.249226,4620
-1058.28847,4672
-18.593707,4676
-159.039772,4708
-19.750588,4752
-22.306273,4792
-56.181168,4980
-132.287176,5028
-174.95516,5176
-1087.830065,5312
-16.46379,5324
-37.618951,5340
-42.703435,5424
-60.911817,5488
-36.340516,5576
-41.323048,5580
-11.536973,5660
-21.29849,5668
-91.567416,5688
-63.595139,5832
-63.525591,5964
-209.030684,5996
-15.698527,6084
-37.915161,6128
-190.593348,6228
-27.54698,6244
-86.599347,6332
-45.112827,6364
-67.805305,6484
-46.882555,6500
-46.988799,6588
-21.043772,6596
-12.60767,6644
-22.075644,6712
-27.377987,6820
-15.619593,6908
-341.454672,7060
-38.178207,7148
-32.614312,7200
-27.411476,7288
-60.592475,7396
-52.369781,7400
-22.19137,7544
-157.817351,7880
-26.813083,7996
-9.472041,8064
-46.979669,8240
-59.330776,8452
-288.578648,8584
-41.802668,8600
-20.633624,8672
-37.426886,8724
-198.498481,9364
-43.414303,9480
-185.332973,10032
-153.533816,10456
-1018.080195,10588
-44.218953,10668
-33.529506,10784
-55.5323,10956
-35.375375,11080
-1085.873069,11148
-32.614616,11208
-46.821848,11420
-43.308638,11460
-21.135742,11500
2.697988,11572
-27.807007,11804
-95.543003,11876
-35.040161,12272
-17.188008,12368
-28.239406,12464
-124.539438,12472
-64.976613,12636
-1008.564688,12672
-91.810643,12972
-170.482443,13576
-12.674819,13616
-230.804663,14188
-358.700061,14220
-27.131284,14292
-9.19511,14420
13.330224,14584
-1069.733048,14588
-43.023182,14696
-17.088889,14824
-81.84048,14892
-25.627795,14932
-221.878662,14956
-96.576705,15228
-147.131591,15408
-33.777758,15424
-979.283932,16636
-87.56147,17000
-568.308773,17768
-136.892029,18416
-14.519627,18624
-9.53753,18720
-966.164249,18892
-86.44813,18940
-33.211716,19028
-64.902118,19068
-9.844117,19076
-77.466721,19360
-1057.809194,19424
-21.323222,19532
-1.027207,19608
-155.866062,19640
-39.330088,19756
-73.105745,19780
-80.311812,19976
-22.556258,20096
-30.383664,20136
-33.115036,20220
-27.483638,20240
-9.275806,20268
-56.582086,20632
-993.986771,21000
-42.529535,21136
-934.503738,23756
-1033.033364,24268
-88.288315,24276
-44.880506,24416
-81.236679,24624
-952.867043,24632
-3.443056,24688
-45.796907,25116
-1031.375775,25136
-21.338903,25208
-11.341532,25264
-100.230237,25528
-108.065466,25564
-40.070204,25772
-158.227325,25980
1.782341,26028
-41.253075,26180
-64.884477,26352
-19.157075,26416
-47.576639,26620
-28.783692,26728
-82.45718,27072
-31.434651,27216
-58.208593,27564
-43.81143,27724
-55.4949,27860
-25.051504,28124
-27.662939,28220
-973.842384,28276
-63.69006,28492
-12.04442,28612
-1065.419482,28632
-41.491166,28760
-138.29194,29116
-61.14456,29400
-927.987027,29772
-91.43312,29788
-57.741323,30032
-20.786356,30128
-975.597238,32276
-18.338668,32416
-14.906032,32480
-952.74691,32760
-43.572001,32916
-13.940373,33036
-25.720328,33132
-43.65951,33404
-74.094222,33644
-982.502351,33772
-1068.112233,34128
-99.435467,34276
-48.660858,34396
-29.213999,34488
-26.859219,34616
-17.86552,34692
-96.435344,34940
-26.33384,35040
-41.818779,35332
-18.713488,35396
-114.446328,35664
-65.175459,35968
-15.371904,36036
-25.148457,36200
-923.954057,36480
-80.92635,36500
-3.259096,36552
-13.362112,36628
-60.937346,36684
-8.369006,36740
-59.226136,36800
-67.361929,36884
-35.436104,36928
-18.855717,36932
-48.774529,37152
-924.542701,37772
-63.216155,38148
-972.893093,38276
-95.251725,38620
-118.290272,38636
-146.464008,39008
-121.813267,39216
-74.17531,39260
-93.07467,39408
-35.125307,39560
-33.379507,39732
-152.60847,39744
-49.153118,39956
-192.303186,40528
-991.529884,40928
-193.381327,41000
-903.024194,41152
-72.11544,41252
-15.938751,41260
-34.914998,41304
-21.424229,41340
-4.748468,41360
-12.942505,41396
-6.726613,41480
-6.812131,41632
-77.340139,41748
-50.379201,41832
-82.454944,42104
-856.492397,43956
-911.914528,45252
-856.136713,45832
-63.276384,46068
-835.622323,46104
-11.000107,46120
-228.107554,46836
-55.548168,47032
-49.952301,47256
-881.981855,47956
-30.461867,48076
-921.320637,49252
-146.542373,49680
2.504199,49832
-71.24696,50080
-933.775728,50120
-27.387117,50248
-38.091743,50524
-854.366536,51256
-154.111135,51360
-85.876936,51812
-18.757388,51936
-101.290467,52040
-852.665183,52076
-39.585397,52116
-42.712109,52216
-2.618807,52288
-50.359351,52308
-108.252096,52576
-61.678701,52648
-140.744455,52988
-32.87423,53172
-155.009311,53180
-70.999035,53416
-15.004723,53488
-135.909046,53608
-852.429998,54080
-54.602828,54388
-0.165882,54444
-24.90255,54604
-89.199797,55004
-31.986655,55156
-34.738059,55276
-17.548396,55384
-146.555111,56016
-914.39511,56288
-48.960206,56296
-19.836211,56492
-39.439782,56604
-275.743718,57280
-36.664041,57404
-875.801167,57488
-867.499407,57608
-43.169877,57788
-5.951348,57848
-45.331834,58008
-13.092568,58140
-97.775686,58376
-6.183692,58440
-27.527131,58588
-120.885975,58760
-100.148386,59036
-75.133011,59256
-15.568007,59304
-54.25642,59468
-837.50293,60604
-57.807315,60900
-868.011791,61404
-4.277003,61448
-173.174963,62060
-36.513078,62228
-850.986259,62760
-2.437383,62804
-19.67294,62864
-121.94962,62868
-39.905135,62992
-53.417187,63100
-45.323419,63208
-812.150184,63468
-85.505598,63600
-19.618703,63720
-72.561101,63940
-66.964511,64200
-120.117659,64608
-819.979924,64900
-92.470723,65220
-128.846238,65272
-66.134985,65412
-172.825886,65784
-13.970964,65868
-28.879496,66088
-109.763763,66220
-9.081108,66260
-80.260304,66272
-30.637387,66344
-20.756301,66456
-19.775088,66640
-66.210955,66720
-27.290382,66784
-24.338738,66928
-835.590704,67100
-128.727243,67464
-801.189087,67468
-182.891115,67608
-32.951949,67948
-89.518553,68024
-20.187404,68100
-49.567039,68268
-70.442297,68464
-115.665312,68484
-48.782177,68736
-46.980858,68832
-26.125145,68884
-39.449447,69080
-12.677241,69148
-10.972711,69264
-67.279807,69444
15.632079,69468
-16.592191,69544
-53.028606,69588
-27.667594,69644
-55.321742,70008
-68.782367,70368
-26.909539,70468
-754.235904,70640
-122.513351,70884
-80.344178,71248
-777.627138,71468
-156.250266,71508
-10.383306,71624
-30.353402,71660
-850.284771,73588
-1.476,73680
-41.761568,73832
-2.400485,73952
-77.707367,74372
-36.493437,74652
5.4311,74728
-846.286897,75248
-745.988177,75624
-759.762352,75660
-110.093849,76256
-27.616801,76364
-82.344282,76664
-25.787,76824
-90.81201,77164
-54.903613,77320
-88.682918,77708
-7.670333,77832
-62.628182,78136
-47.998297,78484
-763.243967,78728
-24.995437,78800
-13.072026,78868
-739.096298,79248
-28.511906,79404
-110.844658,79412
-22.507332,79560
-47.141996,79592
-819.924342,79624
5.618086,79656
-26.137194,79720
-32.682407,79852
-98.038914,80128
-68.515462,80152
-30.458212,80308
-109.814376,80448
-17.645131,80560
4.498278,80688
-78.081952,80700
-7.803705,80784
-25.415855,80876
-6.164128,80908
-35.474916,81208
-29.248882,81320
-766.446406,82484
-60.376899,82724
-32.536347,82936
-33.675267,83180
-41.052522,83312
-21.306598,83440
-819.97182,83592
-772.469216,84700
-778.796872,85320
-13.994921,85672
-788.753465,87440
-814.385723,87592
-78.94137,88304
-763.545956,88700
-693.002928,89672
-38.439259,89832
-762.540527,91440
-16.115848,91572
-20.305645,91776
-27.090197,91932
-744.761793,92304
-137.174864,92676
-749.491458,92700
-112.614317,92904
-102.70339,93048
-50.210406,93548
-34.644858,93644
-21.271466,93732
-8.632634,93800
-688.216955,93832
-277.852843,94116
-60.9062,94156
-14.494667,94204
-19.602057,94224
-41.579001,94364
-19.868131,94416
-21.881534,94488
-100.837768,94568
-31.325942,94584
-55.203717,94896
-70.30007,94984
-47.440821,95248
-18.432304,95396
-103.752898,95480
11.037283,95532
-69.432861,95812
-216.320817,95936
-31.722773,95956
-3.788179,96004
-88.259387,96020
-34.215882,96144
-20.501709,96184
-52.360141,96412
-4.640113,96632
-170.27192,96856
-712.953608,96904
-9.440428,96936
0.292914,96960
-0.424383,97008
-93.11735,97100
-26.001562,97404
-55.111471,97428
-42.628332,97536
-12.949095,97632
-82.953851,97652
-16.804088,97756
-81.07525,97760
-18.209038,97804
-15.391961,97848
-54.0943,98196
-87.208761,98580
-117.695282,99036
-30.763533,99456
-2.486875,99516
-53.844375,99760
-621.943116,100144
-714.986602,101760
-727.496176,101804
-38.624228,101968
3.860128,102044
1.99539,102100
-96.234614,102236
-20.0573,102528
-134.850324,102840
-33.917819,103088
-56.459278,103560
-707.682473,103760
-27.105976,103832
-622.099563,104144
-95.315008,104156
-286.665152,104160
-0.312417,104244
-25.249977,104324
-32.900631,104544
-90.284573,104860
-608.72486,107832
-648.37401,108156
-640.222514,108324
-81.191121,108480
-56.226452,108792
-637.232601,108860
-44.7886,109236
-14.271398,109288
-90.070403,110004
-33.672086,110152
-51.684244,110468
-65.246348,110784
-33.575225,110880
-6.626611,110956
2.516437,111028
-17.446611,111244
-41.883237,111472
-11.556559,111752
-632.624649,111832
-27.130381,111928
-55.734061,111980
-597.534123,112004
-2.382343,112012
-39.357717,112212
-47.120465,112216
-11.431767,112312
-9.910407,112368
-0.398384,112468
-568.523003,112792
-61.022845,112880
-617.446584,115980
-602.928077,116368
-141.790791,116484
-67.256055,116580
-33.413142,116772
-657.693278,116792
-596.695401,116880
-10.77278,116896
3.268856,116960
-112.583288,117232
-100.559751,117252
-68.237911,117264
-69.730113,117272
-29.464153,117372
-30.030035,117660
-28.860763,117708
-17.201763,117820
-20.798112,117968
-55.685442,118236
-44.910869,118480
-70.835069,118852
-40.540143,119076
-39.819951,119276
-34.922839,119676
-48.670559,119944
-26.0744,120160
-47.715183,120512
-15.928903,120656
-15.889653,120768
-601.249089,121232
-594.8812,121252
-65.191323,121368
-5.59329,121492
-59.134207,121556
-13.172975,121644
-548.551762,121660
-24.209276,121744
-37.354624,121788
-5.554481,121892
-104.502566,121896
-53.27352,121932
-23.019889,122080
-42.89434,122116
-8.132237,122128
-37.278016,122272
-20.72902,122284
-109.254254,122656
-92.250571,122704
-6.945184,122744
-38.304858,122840
-43.947491,122956
-58.962127,123176
-38.346376,123360
-500.546753,125492
-528.182692,126284
-46.562211,126612
2.063933,126780
-526.752648,126840
3.621574,126928
-10.081205,127004
-12.672036,127032
0.88925,127264
-42.558352,127352
-511.200092,127360
-16.982183,127460
-22.240977,127528
-67.979712,127736
-139.184191,127940
-10.44295,128000
-23.174482,128140
-49.089987,128228
-39.414972,128320
-11.640744,128420
-54.611698,128688
-24.873652,128872
-67.778086,128972
-27.384362,129052
-0.173876,129072
-39.700967,129244
-40.120248,129396
-6.281731,129444
14.038666,129452
-553.198182,129492
-5.971017,129508
0.204553,129536
-22.498565,129652
-36.777056,129756
-7.638871,129796
-17.209721,129848
-58.422647,129896
-53.917302,130168
-32.426072,130312
-41.984264,130360
-16.356772,130572
-39.915462,130828
-106.354107,130860
-9.346461,130928
-57.400954,131124
-12.35894,131172
-570.082931,131352
-65.548239,131844
-3.480294,132012
-63.796109,132160
-32.877088,132388
1.710444,132628
-36.327499,132796
-27.016774,133480
-3.410937,133536
-500.806627,133848
-33.444997,133856
-15.360987,133928
-32.233572,134156
-29.712337,134164
-12.751777,134328
-31.585405,134548
-15.407813,134648
-48.333997,134820
-8.125105,134876
-463.08869,134928
-49.938061,134944
-6.881812,134996
-538.924288,135172
-66.751199,135336
-30.235123,135416
-86.015992,135484
-40.753055,135936
-171.486702,136216
-18.704678,136292
-91.159085,136896
-103.221325,137660
1.552162,137716
-13.451664,137800
-13.801158,138096
-27.767068,138312
-513.233372,139172
-463.779168,139484
0.695757,139628
-11.67154,139680
-25.456926,139840
-465.385826,139936
-30.918746,140240
-86.777365,140736
-217.357444,142276
-437.141291,142312
-51.735961,142504
-11.034726,142564
26.210589,142692
-63.94428,142940
-468.264927,143172
-15.01938,143260
-568.728419,144240
-21.256062,144460
-97.356828,145324
-22.512187,145388
-32.930554,145832
-50.753512,146204
-2.083942,146256
-32.892011,146500
-491.971715,146692
7.872729,146756
-73.570717,146780
4.772597,146904
-466.710698,146940
-46.177141,147116
-35.194007,147228
-407.108405,147260
-54.724592,147340
-47.195801,147464
-44.87981,147604
-119.973109,148012
-21.799437,148080
-18.329984,148156
-73.054918,148176
-9.226041,148284
13.422915,148296
-36.253494,148300
-8.200973,148364
-4.963991,148460
1.663141,148524
-7.523429,148708
-2.744569,148724
-87.855423,149132
-51.126695,149164
-32.218025,149340
-52.946277,149616
-398.966239,151340
-2.678791,151580
15.507668,151752
-45.246386,152064
-1.96015,152168
-77.365952,152588
-501.353223,152724
-434.713328,153132
-18.910561,153292
-28.971914,153404
0.196681,153592
-358.036031,153616
-8.778538,153712
-102.350591,153828
-155.379295,154044
-5.320416,154304
-457.275377,157592
-436.217415,157712
-457.817802,157828
-10.534138,157864
-93.678614,158164
-32.829193,158216
-439.208772,158304
-11.210861,158376
-34.904981,158540
-53.685942,158576
2.381266,158624
-10.875491,158704
-4.706362,158772
-17.256804,159072
-75.463275,159120
-27.616806,159272
-4.973114,159404
-4.355592,159608
-11.677399,159760
7.277552,160228
-18.377981,160664
-23.256903,160804
0.760801,160920
-437.218666,161712
-68.63722,162240
-414.348828,162540
-75.485061,162756
-10.451565,163000
-404.141618,163072
-24.630422,163116
-34.552562,163304
-61.292817,163524
1.891494,163600
-441.735925,164920
-27.337213,165324
-36.854059,165492
-84.318006,166340
-10.716635,166848
-10.785422,166904
-382.112274,167000
-318.153122,167072
-27.364283,167456
-1.820391,167516
-404.957465,167600
-115.671577,167912
-28.572132,167928
-49.044917,168264
-49.661403,168376
-256.106297,168532
-9.359786,168584
-15.955926,168648
-16.417712,168812
-33.723346,168908
-15.202288,168936
-159.42195,169948
-122.201468,169952
-21.365978,170072
1.574206,170212
-66.376072,170344
26.905302,170512
-15.557538,170532
-13.456266,170676
-31.828401,170908
-12.058503,171052
6.223461,171212
-71.550581,171228
-8.938943,171352
-8.395815,171412
-20.129734,171456
5.253559,171572
15.400466,171796
