reward,timestep

-45.383889,104
-72.963296,208
-78.140137,364
-96.494346,384
-94.483013,480
-27.900541,584
-11.546359,620
-71.15117,652
-108.39998,664
-22.558036,720
-18.762336,740
-59.027068,844
-89.928609,1124
-90.10897,1128
-36.788238,1284
-213.751809,1396
-42.236473,1552
-134.694438,1680
-186.313804,1720
-131.924797,1880
-58.34551,1956
-72.137338,2156
-205.843005,2184
-38.533046,2440
-134.488263,2464
-32.917487,2572
-27.518139,2768
-66.307007,2788
-168.708485,2832
-64.573712,2944
-55.132404,3032
-98.748589,3036
-46.874755,3104
-23.279457,3204
-36.053176,3308
-97.674392,3368
-38.369322,3480
-60.194601,3612
-1131.911616,4720
-60.035239,4976
-124.222761,5468
-16.078779,5572
-140.419554,6148
-19.233875,6208
-62.91944,6620
-56.678193,6792
-23.511019,6940
-46.634908,7052
-1086.297099,7104
-6.293671,7152
-30.488249,7160
9.890117,7248
-27.016436,7336
-10.361064,7388
-1101.02302,7480
-27.331555,7580
-1114.208571,7612
-9.686339,7708
-146.471874,7760
-38.737758,7988
-111.891558,8020
-117.321102,8028
-64.151599,8144
-37.989577,8284
-88.061124,8380
-75.561289,8616
8.231573,8764
-11.111924,8816
-91.272397,8884
-53.410519,9052
-25.794784,9168
-77.450192,9192
-40.181152,9328
-122.535582,9580
-52.726154,9584
-36.063023,9768
-67.368494,9812
-22.793826,9892
-39.26479,9960
-84.626817,10100
-89.196233,10420
-34.814207,10496
-9.811678,10588
-54.537681,11048
-1148.408443,11248
-112.196114,11504
-132.268427,11540
-13.774296,11572
-11.760799,11620
-38.750404,11816
-33.301501,11988
-17.592461,12044
-19.254311,12132
-67.03107,12272
-59.496219,12384
-38.272474,12480
-94.239446,12620
-58.630094,12632
-50.757908,12748
-11.198966,12824
-75.554423,12944
-97.337625,13128
-10.505619,13184
-3.57266,13244
-10.735886,13304
-91.021791,13748
-27.971348,13804
-1052.936432,13960
-24.486316,14056
-3.651892,14088
-15.352424,14160
-53.701045,14412
-257.647303,15096
-141.951001,15496
-1111.35557,15620
-30.395237,15672
-69.000193,15928
-11.849127,16020
-52.656523,16084
-49.999787,16212
-95.05843,16348
-72.487073,16480
-25.683337,16552
-19.928074,16676
-1012.669524,16944
-256.602489,17012
-45.715132,17128
-152.321638,17308
-114.020725,17344
-10.216623,17408
-29.234408,17492
-41.156716,17572
-89.136512,17664
-100.317659,17968
-23.482756,18080
-145.892818,18404
-33.209577,18408
-1127.078471,18412
-24.310097,18516
-27.803411,18548
-31.47418,18628
-79.222906,18644
-167.342173,19084
-167.423805,19236
-82.204314,19328
-181.021969,19344
-90.890181,19588
-53.345962,19632
-165.157237,19796
-38.437272,19856
-103.316093,19868
-7.855365,19920
-50.362978,19936
-22.330515,19976
-19.335968,19996
-35.669034,20136
-74.609298,20236
-31.917833,20252
-125.347503,20604
-145.525604,20648
-55.900717,20768
-39.995582,20840
-17.34139,20920
-9.006259,20964
-121.678064,21116
-954.848147,21128
-101.166761,21240
-30.595757,21308
-38.885667,21328
-55.84719,21500
-10.165384,21552
-46.631664,21608
-42.580237,21792
-5.203272,21820
-178.623416,21960
-37.626223,22088
-149.270362,22208
-76.93316,22384
-114.627606,22596
-25.585427,22680
-116.597343,23284
-42.684774,23400
-28.969413,23644
-26.24891,23800
-136.039686,24180
-970.875126,24252
-38.585535,24372
-67.622188,24556
-993.209373,25820
-58.738387,25976
-56.540373,26184
-980.08454,26384
-45.936249,26392
-52.775439,26636
-112.322334,26792
-39.93716,26860
-88.184801,27068
-139.068402,27216
-38.800535,27236
-25.5636,27308
-154.530711,27616
-31.602373,27676
-59.432577,27748
-15.369156,27808
-58.893222,27996
-26.540221,28108
-978.85901,28252
-18.255792,28328
-26.373592,28420
-951.432074,28556
-41.102086,28580
-128.603119,28688
-27.75531,28760
-75.702843,28948
-79.725267,29212
-217.341707,29712
-25.418985,29880
-186.931263,29936
-42.366157,30084
-56.405107,30220
-77.105577,30504
-13.239268,30584
-1043.275766,31676
-73.865881,31872
-52.888185,32084
-26.317509,32208
-55.079036,32392
-36.885662,32548
-883.106902,32580
-21.261884,32620
-25.784691,32716
-28.416229,32876
-10.854636,32940
-136.041581,33124
-71.054881,33576
-18.799658,33632
-979.394617,33936
-106.591469,34308
-14.191361,34388
-28.461696,34496
-966.355827,34584
-60.560333,34692
-69.678728,35088
-298.885122,35384
-96.87954,35440
-22.055156,35496
-124.592066,35796
-93.631259,35816
-126.797439,36184
-54.519975,36352
-158.743583,36432
-9.367541,36536
-20.532393,36696
-27.057362,36808
-22.829093,36864
-931.708803,36940
-192.638998,37060
-104.230968,37208
-83.545045,37328
-49.714614,37752
-979.508543,37936
-93.260931,38040
-16.505036,38144
-10.982842,38188
-108.296363,38408
-41.955993,38488
-30.526393,38796
-52.442415,38928
-45.30046,39152
-27.661514,39248
-28.462987,39344
-974.454272,41060
-941.596054,41328
-27.085361,41492
-68.755556,41716
-63.272327,42176
-970.682323,42408
-95.616453,42744
-186.184017,42868
-30.132878,42876
-42.220275,43160
-18.262406,43252
-924.064514,43344
-81.314087,43356
-21.185352,43476
-78.573955,43640
-5.476889,43672
-13.494536,43700
-49.131313,43804
-83.834756,44028
-124.115382,44180
-34.559925,44380
-44.321263,44448
-12.171048,44580
-44.593402,44672
-878.509283,45060
-108.299111,45112
-101.243945,45128
-24.533535,45220
-113.789253,45504
-20.825267,45564
-100.735291,45580
-182.592795,45652
-28.510174,45680
-20.010675,45772
-66.300309,45996
-20.104742,46052
-26.994427,46120
-93.37059,46172
-131.86593,46276
-40.817842,46292
-62.832909,46600
-58.039413,46784
-257.20381,47164
-21.243023,47220
-916.123287,47252
-162.574612,47348
-1.617327,47428
-82.814329,47468
-12.02125,47512
-46.237158,47568
-16.887846,47608
-13.163201,47632
-95.789363,47656
-6.71376,47704
-8.30486,47728
-46.977292,47852
-69.738605,48068
-159.639055,48172
-145.687056,48188
-31.166694,48268
-46.087786,48280
-6.129601,48288
-17.031584,48324
-98.460291,48620
-25.666654,48704
-79.859815,48728
5.772578,48840
-105.411688,48960
-105.852562,49064
-20.949207,49084
-22.678112,49148
-52.083893,49196
-30.753878,49300
-48.572323,49452
-19.674668,49484
-15.633375,49536
-107.151724,49552
-5.930512,49592
-15.919475,49688
-31.083452,49804
-59.717476,49880
-62.416923,50152
-96.193331,50204
-33.027333,50248
-1032.209086,50276
-28.804553,50344
-180.800737,50440
-43.96579,50444
-80.966322,50560
-17.061756,50592
-61.769801,50696
-4.683563,50776
-83.115449,50840
-66.619223,50940
-11.943556,50972
-65.095129,51060
2.734129,51128
-33.844145,51184
-50.901089,51376
-141.851467,51704
-62.627355,51708
-14.961716,51788
-204.853162,51812
-43.226458,51828
-6.040144,51884
-31.741827,51944
-88.114522,52076
-38.793912,52316
-13.886884,52380
-101.424815,52392
-24.532804,52496
-13.405834,52568
-47.470874,52736
-116.539483,52996
-20.401003,53104
-164.688673,53716
-907.838852,54592
-5.271378,54708
-44.382493,55036
-892.214304,55788
-116.100446,56428
-852.405719,56736
-53.933964,56984
-135.590612,57064
-8.355223,57112
-48.909718,57260
-87.328237,57380
-37.555182,57460
-12.202634,57512
-10.04871,57572
-870.136483,57716
-87.543422,57860
-89.190636,57900
-55.359854,58296
-130.365825,58560
-78.172617,58684
-6.914394,58748
-25.448137,59000
-955.755729,59036
-29.863359,59280
-210.209961,59300
-3.203818,59356
-65.92541,59516
-124.414391,59528
-54.589985,59620
-88.643998,59780
-55.947356,59924
-26.766355,60000
-103.280133,60076
-18.652206,60108
-54.116849,60248
-12.316337,60264
-36.144004,60492
-85.290301,60528
-18.33462,60632
-4.805871,60692
-784.391424,61716
-18.676781,61768
-41.899653,61832
-118.552844,62416
-60.881967,62728
-55.821348,63004
-29.519195,63084
-7.195162,63140
-60.948902,63640
-62.459696,63840
-42.390498,64144
-32.52163,64272
-6.957763,64340
-902.546363,64528
-101.585572,64636
-22.047967,64688
-904.520905,64692
-108.366221,64844
-60.306765,64912
-44.818904,64940
-29.711157,65020
-189.270212,65444
-27.866371,65556
-170.667576,65752
-16.369924,65808
-13.062602,65860
-231.916309,65880
-35.124649,66052
-30.455047,66100
-36.16792,66172
-33.654121,66216
-37.202543,66272
-23.555192,66396
-32.273192,66436
-12.743266,66444
3.002891,66648
-82.666091,66676
-25.543191,66784
-1.900421,67000
-61.528137,67032
-12.719476,67092
-161.549198,67808
-683.95153,68304
-65.029165,68652
-98.216674,69056
-15.991112,69108
-48.956096,69324
-11.490447,69368
-894.440521,69556
-29.814619,69576
-23.759559,69760
-146.169556,70396
-118.439467,70964
-750.954027,71000
-8.348008,71168
-51.344431,71376
-20.433045,71504
-96.864309,71552
-44.821229,71692
-53.181414,71716
-723.125976,71808
-18.250706,71888
-56.77139,71936
-62.108244,71980
-5.782311,72052
-26.332962,72108
-22.421251,72200
20.299846,72248
-22.797074,72268
-29.954116,72280
-22.488716,72384
-15.625969,72416
-72.549128,72568
-39.427989,72680
-84.151904,72868
-29.5897,73092
1.199536,73172
-38.211744,73332
4.444959,73440
-867.793027,73556
-26.51812,73584
-63.247434,73752
6.124656,73772
-39.329664,73856
-30.535496,73996
-9.748213,74112
-87.806879,74504
-59.480953,74740
6.953701,74840
5.109007,74980
-21.345002,75060
-162.965968,75720
-801.177802,76416
-40.754129,76592
-786.883784,76680
-91.942111,77040
-8.743073,77116
-66.392345,77356
-129.054911,77396
-9.494268,77468
-29.01577,77672
-26.424808,77772
-777.16719,77856
-52.200893,77928
-27.025782,78076
-44.05628,78164
-35.908384,78344
-25.888517,78452
-119.351902,78656
-70.379875,78704
-5.624609,78716
-27.408888,78828
-20.513796,78904
-5.120193,78980
-30.940475,79096
-35.975472,79316
0.117616,79380
-746.950097,79720
-71.976023,80080
-19.705361,80264
-660.546287,80456
-34.492125,80640
-33.87627,80836
-51.192504,81108
-56.104702,81308
-28.370488,81436
1.571054,81532
-831.376802,82904
-18.927225,82968
-34.124502,83176
-783.664352,83380
-109.409494,83628
-82.329428,83908
-34.666209,84068
-799.160475,84264
-48.369982,84400
-38.761997,84572
-22.324434,84624
-7.948306,84696
-40.165672,84744
-6.885879,84852
-17.794125,84856
-215.229402,84868
-13.931939,84936
-33.863205,84956
-15.045492,85012
-19.292184,85020
-53.804638,85040
-12.730637,85148
-25.871443,85256
-9.882716,85268
-79.725022,85496
-722.641449,85532
-33.553897,85676
-37.82631,85856
-48.865172,86048
-138.865418,86080
-54.660448,86288
-57.258788,86336
-68.262902,86620
-43.679491,86740
5.630355,86884
-764.304994,89040
-27.645765,89240
-18.961624,89324
-724.722875,90048
-135.777473,90104
-12.776726,90168
-38.002241,90328
-769.82799,90336
-46.35169,90360
-26.228042,90552
-60.273791,90568
-21.132412,90668
-18.067012,90732
-28.187578,90800
-22.763019,90828
-9.667799,90856
-703.388784,90884
-27.552118,90960
-1.364469,91000
-72.699238,91152
-37.019483,91164
8.812436,91204
-51.645591,91212
-12.495871,91296
-99.769599,91508
1.904128,91572
-99.040799,92120
-223.429275,92340
-210.052285,93444
13.505528,93616
-65.059388,93992
-32.920761,94260
-20.784406,94344
-3.720555,94392
-63.715617,94628
-82.310905,95112
-709.983784,95152
-17.746245,95220
-720.973919,95296
-53.202553,95304
0.317478,95332
-27.672849,95484
-21.242744,95536
-23.451498,95616
-33.02267,95668
-16.325392,95724
-72.846768,95768
-15.066704,95772
-19.388593,95872
-43.710984,96020
-24.216676,96120
-19.350321,96228
-33.619129,96312
-33.099738,96376
-1.537039,96484
-66.506307,96616
12.401035,96764
-38.597591,96832
-59.671657,97136
-30.091027,97168
-19.023747,97276
-14.865261,97492
-18.191199,97640
-722.226329,99724
-16.899432,99860
-723.103389,99872
-7.765097,99940
-64.58389,100192
-47.996823,100404
-17.775037,100528
-30.867544,100580
-33.5326,100720
-46.776797,100956
-677.485917,101136
-92.259572,101412
0.428518,101540
-684.800859,101640
-230.527652,101816
-35.701115,101876
-10.465559,101960
-64.935536,102148
-115.012485,102344
-19.044644,102444
-29.227558,102596
-40.498814,103076
-10.503141,103160
-121.188506,103820
-9.851556,103888
-670.945817,103940
-27.689567,103960
-99.954343,104552
-150.655065,105220
-676.759549,105540
-51.753345,105608
-1.735037,105668
-17.502779,105724
-41.077418,105864
-33.929676,105960
-777.114629,106148
-4.752404,106204
-34.5232,106212
-14.470082,106268
-51.787215,106404
-8.889908,106444
-38.845736,106552
-81.951095,106592
11.437856,106700
-69.301314,106976
-50.986427,107124
-4.194573,107244
-78.542646,107320
-42.810231,107428
-50.963355,107532
-19.02215,107684
-690.954285,107960
-39.011322,107992
-68.069298,108296
-717.344529,110444
-28.221186,110560
-35.073698,110644
-167.015278,111196
-1.993648,111260
-18.851652,111380
-20.948379,111488
-678.684717,111532
-43.71006,111900
-715.077268,111992
15.751927,112132
-47.714631,112172
8.877925,112276
-706.805691,112296
-26.507463,112444
-86.671045,112528
-24.23455,112540
-15.331104,112628
-9.629544,112680
-33.032245,112684
-12.642003,112760
-41.545257,112880
-28.981496,112992
-68.923448,113128
-102.441932,113208
-90.683032,113564
-50.623279,113600
-88.6813,113628
-58.921184,113892
-272.087735,114888
-94.420193,115212
-92.501313,115712
-18.883729,115844
-613.763719,116296
-31.853887,116404
-37.571127,116836
-140.967597,117524
-607.751004,117600
-639.983738,117892
-59.300216,117948
-34.222028,118132
-72.689867,118420
-34.623287,118616
-648.112444,120296
-129.767625,121120
-40.268201,121328
-4.828938,121568
-7.319499,121656
-5.350198,121772
-653.039546,121948
-28.245399,122092
-694.545503,122132
-1.434297,122236
-131.543285,122304
-26.801285,122344
-48.511977,122412
-18.801066,122476
-43.681912,122576
5.262389,122604
-591.742481,122616
-7.852133,122684
-27.313848,122700
-38.269594,122728
-2.083012,123000
-9.089977,123092
-30.810734,123260
7.047315,123332
-21.955101,123432
-2.987091,123448
-11.551919,123576
3.463638,123648
-77.782613,123712
-5.168841,123824
-45.641574,124112
-618.688664,126412
-15.429065,126492
4.189495,126612
-38.861535,126996
-131.174631,127384
-605.553286,127432
-49.946477,127636
-586.980995,127648
-36.018827,127676
-622.694573,128112
-43.430104,128424
-598.323822,131636
-575.897785,131648
-571.464973,131676
-7.879273,131704
-19.124839,131828
-55.629531,131952
-28.711644,132116
-14.034926,132252
-8.602145,132348
-587.961204,132424
3.852156,132476
-17.617822,132612
