anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward
True,PPO,1,300000,Ant-v4,111,222,333,444,env,5,PPO_1_300000_Ant-v4_111_222_333_444_env=5,-108.15957915700484
True,PPO,2,300000,Ant-v4,111,222,333,444,env,18,PPO_2_300000_Ant-v4_111_222_333_444_env=18,6.931231058887671
True,PPO,3,300000,Ant-v4,111,222,333,444,env,9,PPO_3_300000_Ant-v4_111_222_333_444_env=9,109.0102989638448
False,PPO,1,300000,Ant-v4,111,222,333,444,env,12,PPO_1_300000_Ant-v4_111_222_333_444_env=12,-91.73276422148544
False,PPO,2,300000,Ant-v4,111,222,333,444,env,8,PPO_2_300000_Ant-v4_111_222_333_444_env=8,6.223211838354863
False,PPO,3,300000,Ant-v4,111,222,333,444,env,8,PPO_3_300000_Ant-v4_111_222_333_444_env=8,107.89969300240963
True,PPO,1,300000,Ant-v4,111,222,333,444,buffer,2,PPO_1_300000_Ant-v4_111_222_333_444_buffer=2,-107.85267631006492
True,PPO,2,300000,Ant-v4,111,222,333,444,buffer,3,PPO_2_300000_Ant-v4_111_222_333_444_buffer=3,4.158912087709785
True,PPO,3,300000,Ant-v4,111,222,333,444,buffer,9,PPO_3_300000_Ant-v4_111_222_333_444_buffer=9,100.7258024425795
False,PPO,1,300000,Ant-v4,111,222,333,444,buffer,8,PPO_1_300000_Ant-v4_111_222_333_444_buffer=8,-90.6813057833442
False,PPO,2,300000,Ant-v4,111,222,333,444,buffer,2,PPO_2_300000_Ant-v4_111_222_333_444_buffer=2,5.743430666513341
False,PPO,3,300000,Ant-v4,111,222,333,444,buffer,1,PPO_3_300000_Ant-v4_111_222_333_444_buffer=1,120.3813209519938
True,PPO,1,300000,Ant-v4,111,222,333,444,noise,9,PPO_1_300000_Ant-v4_111_222_333_444_noise=9,-106.79252875478646
True,PPO,2,300000,Ant-v4,111,222,333,444,noise,10,PPO_2_300000_Ant-v4_111_222_333_444_noise=10,-3.98190129273183
True,PPO,3,300000,Ant-v4,111,222,333,444,noise,14,PPO_3_300000_Ant-v4_111_222_333_444_noise=14,91.10570149364943
False,PPO,1,300000,Ant-v4,111,222,333,444,noise,15,PPO_1_300000_Ant-v4_111_222_333_444_noise=15,-91.99009014467816
False,PPO,2,300000,Ant-v4,111,222,333,444,noise,2,PPO_2_300000_Ant-v4_111_222_333_444_noise=2,0.4508650463606896
False,PPO,3,300000,Ant-v4,111,222,333,444,noise,7,PPO_3_300000_Ant-v4_111_222_333_444_noise=7,100.44323920747372
True,PPO,1,900000,Ant-v4,111,222,333,444,policy,8,PPO_1_900000_Ant-v4_111_222_333_444_policy=8,91.52800061421696
False,PPO,1,900000,Ant-v4,111,222,333,444,policy,12,PPO_1_900000_Ant-v4_111_222_333_444_policy=12,126.90152693856504
