reward,timestep

-14.859466,68
-25.683907,72
-23.124456,132
-34.523891,276
-99.766924,364
-16.921662,372
-32.61269,484
-28.84021,580
-41.108486,676
-37.886454,720
-181.422917,728
-36.055131,760
-38.602499,848
-22.077094,864
-19.141193,868
-29.281255,956
-12.682873,1036
-98.663692,1068
-15.703885,1128
-68.964173,1224
-18.430784,1292
-149.70646,1600
-22.106102,1612
-17.973423,1652
-86.313584,1884
-8.437973,1936
-84.639148,1984
-22.80094,2064
-79.2814,2360
-33.742437,2548
-80.259968,2780
-31.797461,2896
-31.988064,3040
-1080.927231,4580
-1029.751273,4864
-60.69895,5108
-102.191913,5368
-127.703882,5776
-15.039548,5860
-1057.532859,5936
-111.656856,6156
-32.544605,6180
-70.180486,6428
-31.440457,6556
-27.468383,6564
-32.158569,6644
-43.473278,6648
-10.259325,6692
-97.636483,6824
-36.554297,6900
-112.988948,6980
-61.367982,7032
-1100.702286,7040
-31.755265,7116
-52.363626,7232
-55.518758,7296
-111.010206,7312
-16.965669,7408
-12.446263,7440
-153.176015,7684
-116.314235,7788
-70.539013,7952
-57.161894,7988
-18.429584,8024
-21.303917,8044
-67.265661,8204
5.989957,8324
-32.532023,8408
-26.607368,8576
-1092.887497,8580
-198.019922,8584
-33.279373,8696
-50.132469,8784
-38.188975,8912
-82.397414,8916
-18.999939,8996
-25.10965,9012
-109.188196,9076
-31.365092,9084
-73.733476,9244
-92.787028,9332
-252.49289,9724
-190.767763,9804
-95.85364,10028
-61.070419,10036
-7.521424,10080
-19.344801,10128
-28.117706,10188
-31.933877,10256
-32.84828,10344
-37.110204,10488
-59.686645,11024
-1104.953956,11440
-170.895795,11472
-31.001711,11548
-45.437466,11692
-164.335072,12040
-85.699595,12408
-17.73413,12648
-123.020179,13060
-1053.891096,13332
-93.691269,13552
-72.973696,13740
-78.165126,13940
-10.381264,14108
-32.404228,14220
-989.943397,14256
-75.762883,14484
-120.784527,14548
-103.047156,14856
-10.636408,14952
-15.855439,15008
-43.63633,15204
-11.357995,15324
-35.223154,15444
-25.036074,15528
-16.623236,15632
-1005.469962,15692
-40.474334,15752
-4.525586,15840
-71.891487,16076
-17.044147,16132
-62.651369,16360
-18.802956,16412
-32.976544,16644
-96.549937,17164
-28.386242,17244
-1053.82052,17332
-51.071126,17380
-23.39093,17480
-53.213314,17676
-78.669009,17916
-25.00087,17980
-68.207396,18160
-1035.759365,18484
-106.171642,18548
-81.396654,18780
5.927443,18848
-247.527177,19704
-1030.298621,19752
-29.140734,19856
-44.539661,19908
-19.107091,20020
-48.707488,20112
-50.046416,20272
-47.736107,20380
-14.869189,20432
-9.252645,20480
-5.72561,20540
4.057616,20604
-17.510644,20740
-24.50729,20796
-30.8076,20908
-18.464537,21032
-15.177793,21076
-1009.615971,21332
-1023.736401,22548
-33.035993,22720
-42.29234,22884
-79.134691,23192
-22.516463,23420
-41.926823,23544
-1017.351856,24020
-102.607462,24280
-95.22623,24632
-56.238432,24740
-25.974538,24844
-1050.954842,25076
-27.152076,25152
-63.167784,25332
-10.224297,25388
-17.925762,25468
-44.13182,25528
-134.80977,25896
-14.305682,25964
-89.298233,26280
-18.389431,26436
-294.362616,26568
-109.389251,26852
-1050.434559,27544
-42.051312,27848
-11.221983,27912
-431.790481,27936
-42.676109,28024
-30.816179,28040
-104.347503,28376
-34.613652,28544
-70.91197,28764
-910.665732,28844
-32.860088,28912
-100.206922,28972
-16.363046,29040
-22.997617,29088
-1013.994513,30436
-20.367998,30572
-268.104225,31412
-114.882599,31704
-8.491237,31804
-39.156268,31932
-980.025626,32040
-73.232243,32232
-175.326818,32340
-51.334887,32492
-108.91445,32880
-898.258863,32912
-15.768981,32944
-939.033062,33088
-38.080212,33140
-42.922051,33340
-37.123214,33496
-87.792726,33556
-31.98654,33636
-62.356834,33712
-39.554923,33804
-261.796938,33880
-160.268327,34408
-24.416581,34516
-31.271242,34660
-15.815815,34784
-15.618182,34852
-14.994309,34940
-23.798594,35040
-23.735116,35108
-927.77765,36880
-102.684156,37500
-44.066152,37632
-977.591064,37712
-928.142406,37804
-48.099465,38020
-54.637193,38024
-15.649381,38064
-25.52105,38140
-86.728791,38172
-61.946559,38356
-86.962199,38384
-50.783746,38572
12.674147,38644
-1083.362763,39108
-37.092124,39216
-210.739065,39932
-37.516336,40120
-56.962554,40312
-25.534775,40408
-952.548246,42140
-984.843693,42384
-16.193879,42440
-927.721336,42644
-42.048189,42820
-12.563847,42880
-170.856114,43224
-6.659009,43328
-58.296014,43616
-49.158409,43760
-812.051463,44408
-301.408989,44976
-173.278694,45160
-248.371141,46152
0.920929,46320
-923.728023,46440
-878.680528,46548
-45.634017,46660
-38.936299,46768
-142.650418,46776
-30.521949,46892
-46.627953,47000
-44.876852,47108
-9.031248,47184
-60.503057,47232
-13.043161,47252
-50.042507,47508
-20.570072,47692
-126.316119,48056
-68.109643,48060
-27.801017,48116
-13.799194,48192
-230.637389,49036
-914.950321,49160
-921.946497,50660
-100.075761,51184
-64.967541,51552
-99.319944,51940
-29.113928,52152
-897.212266,52192
-78.634523,52492
-55.816681,52604
-33.084422,52656
-945.297287,53036
-71.766061,53076
-922.183059,53160
-73.509052,53300
-246.360669,53372
-38.201304,53456
