model_name,average_reward
PPO_1_300000_Ant-v4_111_222_333_444_noise=15,-91.99009014467815
PPO_1_300000_Ant-v4_111_222_333_444_noise=4,-100.0020759837037
PPO_1_300000_Ant-v4_111_222_333_444_noise=5,-106.60756270530304
PPO_1_300000_Ant-v4_111_222_333_444_noise=6,-95.64934711474358
PPO_1_300000_Ant-v4_111_222_333_444_noise=11,-104.23623209672387
PPO_1_300000_Ant-v4_111_222_333_444_noise=8,-100.21730911178047
PPO_1_300000_Ant-v4_111_222_333_444_noise=13,-97.09047328581562
PPO_1_300000_Ant-v4_111_222_333_444_noise=2,-98.23277668833923
PPO_1_300000_Ant-v4_111_222_333_444_noise=10,-98.86680249426932
PPO_1_300000_Ant-v4_111_222_333_444_noise=3,-101.72931728760445
PPO_1_300000_Ant-v4_111_222_333_444_noise=1,-100.42169779327976
PPO_1_300000_Ant-v4_111_222_333_444_noise=9,-106.79252875478646
PPO_1_300000_Ant-v4_111_222_333_444_noise=14,-103.46025094697536
PPO_1_300000_Ant-v4_111_222_333_444_noise=7,-96.02947933672087
PPO_1_300000_Ant-v4_111_222_333_444_noise=12,-100.16374162437634
PPO_2_300000_Ant-v4_111_222_333_444_noise=3,-1.705906948775057
PPO_2_300000_Ant-v4_111_222_333_444_noise=11,-2.3902051221879157
PPO_2_300000_Ant-v4_111_222_333_444_noise=1,-1.313953769056247
PPO_2_300000_Ant-v4_111_222_333_444_noise=8,-1.6012920299183904
PPO_2_300000_Ant-v4_111_222_333_444_noise=10,-1.8108448526315906
PPO_2_300000_Ant-v4_111_222_333_444_noise=12,-2.397702691244241
PPO_2_300000_Ant-v4_111_222_333_444_noise=5,-3.5482929599099005
PPO_2_300000_Ant-v4_111_222_333_444_noise=7,-2.761706289848621
PPO_2_300000_Ant-v4_111_222_333_444_noise=13,-1.7290109343820297
PPO_2_300000_Ant-v4_111_222_333_444_noise=9,-3.5430433655328613
PPO_2_300000_Ant-v4_111_222_333_444_noise=6,-2.6131077889335153
PPO_2_300000_Ant-v4_111_222_333_444_noise=2,0.4508650463606896
PPO_2_300000_Ant-v4_111_222_333_444_noise=4,-5.612840069356289
PPO_2_300000_Ant-v4_111_222_333_444_noise=14,-3.979702635832961
PPO_2_300000_Ant-v4_111_222_333_444_noise=15,-2.4042258421052476
PPO_3_300000_Ant-v4_111_222_333_444_noise=4,97.25283948111722
PPO_3_300000_Ant-v4_111_222_333_444_noise=5,93.81258422668243
PPO_3_300000_Ant-v4_111_222_333_444_noise=8,91.38512867741936
PPO_3_300000_Ant-v4_111_222_333_444_noise=11,93.17150367004287
PPO_3_300000_Ant-v4_111_222_333_444_noise=12,94.31907168112544
PPO_3_300000_Ant-v4_111_222_333_444_noise=3,96.5153479949436
PPO_3_300000_Ant-v4_111_222_333_444_noise=10,97.16045885131423
PPO_3_300000_Ant-v4_111_222_333_444_noise=15,94.39049198950234
PPO_3_300000_Ant-v4_111_222_333_444_noise=1,97.62204324249512
PPO_3_300000_Ant-v4_111_222_333_444_noise=9,95.4902568878068
PPO_3_300000_Ant-v4_111_222_333_444_noise=6,96.90163391142745
PPO_3_300000_Ant-v4_111_222_333_444_noise=14,94.92597957399454
PPO_3_300000_Ant-v4_111_222_333_444_noise=7,100.44323920747372
PPO_3_300000_Ant-v4_111_222_333_444_noise=2,94.05820607855458
PPO_3_300000_Ant-v4_111_222_333_444_noise=13,92.01065918720748
