reward,timestep

-18.393976,48
-20.515881,104
-21.397337,120
-12.980682,192
-65.421069,236
-12.677889,280
-45.249328,344
0.107638,348
-154.86478,476
-46.153137,552
-49.36133,772
-113.876322,800
-120.681804,964
-8.409557,1008
-304.22177,1036
-116.952513,1104
-30.480926,1156
-38.771389,1192
-40.085999,1208
-92.898621,1244
-38.805241,1460
-109.911024,1532
-117.346505,1564
-39.107376,1604
-46.620385,1756
-34.432658,1820
-18.508907,1860
-140.242506,1872
-81.676184,1956
-79.033107,2172
-249.456058,2816
-6.026017,2856
-46.162351,3024
-82.663059,3488
-9.878472,3620
-24.089393,3704
-127.415649,4180
-96.079741,4436
-37.12751,4548
-80.445699,4872
-1071.209553,5156
-1076.01739,5956
1.888182,5988
-1123.46157,6172
-275.077264,6184
-94.604981,6444
-8.88797,6516
-19.020853,6568
-131.474721,6660
-43.113607,6824
-36.597377,6924
-27.713626,7064
-155.637738,7584
-225.659889,8376
-1086.041279,8872
-62.326679,9056
-351.325338,9416
-100.122477,9460
-107.269969,9632
-8.011578,9684
-43.651106,9864
-1061.304783,9988
-174.87141,10180
-202.181818,10344
-7.551403,10400
-102.275376,10428
-45.218938,10516
-1029.971605,10660
-60.865374,10668
-8.851392,10720
-26.779952,10916
-26.63494,11028
-73.150354,11224
-114.771948,11420
-136.110126,11556
-95.268165,11856
-22.082114,11912
-153.542784,11928
-44.075556,12004
-36.093505,12020
-32.11777,12108
-35.199127,12196
-41.519328,12308
-74.054122,12448
-35.013337,12568
-69.842963,12572
-50.557035,12760
-41.313061,12912
-47.955418,13024
-76.557359,13252
-166.402293,13276
-42.197419,13384
-68.810799,13668
-39.939461,13860
-208.594433,13892
-10.545337,13960
-1039.191912,13988
-47.07246,14104
-62.984219,14304
-140.531177,14380
-1064.360223,14516
-54.849401,14596
-71.883496,14612
-66.216244,14656
-21.050282,14700
-19.400026,14732
-6.653681,14744
-31.011853,14808
-16.940996,14828
-72.784756,14864
-150.425102,15308
1.756282,15368
-122.844588,15532
-18.375634,15764
-6.908057,15808
-66.913676,16048
-53.128306,16276
-114.661707,16744
-112.754828,17100
-122.707455,17544
-72.893947,17724
-1072.679378,17860
-53.712195,17952
-42.235622,18044
-24.853093,18056
-195.650032,18492
-27.407853,18620
-38.850248,18724
-1069.244274,18864
-47.398407,18932
-12.288705,19040
-9.789772,19092
-10.230183,19140
-58.490939,19272
-42.872615,19348
-1053.605238,19368
-37.997812,19420
-61.202033,19576
-17.427835,19660
-86.301716,19864
-124.681252,19956
-145.848874,20020
-94.736249,20184
-66.091224,20268
-95.287784,20380
-4.748384,20404
-0.25819,20456
-24.155199,20564
-986.161495,22044
-9.969911,22124
-1.682063,22208
-9.004743,22256
-178.392611,22700
-25.367679,22896
-1032.312395,23864
-28.250083,23984
-989.004037,24404
-30.01022,24500
-16.133238,24552
-1011.337314,24564
-37.764728,24668
-19.357706,24948
-45.843323,25148
-45.568861,25396
-212.592587,25424
-33.744589,25516
-49.325715,25696
-60.548983,25812
-17.578774,25856
-120.368473,26116
-70.504482,26360
-77.336028,26508
-70.208806,26596
-20.295139,26620
-9.192995,26700
-58.450994,26852
-961.89479,26896
-16.522976,27136
-120.824717,27180
-11.711163,27196
-44.624774,27380
-17.513368,27432
-28.055133,27544
-71.330923,27756
-1001.946475,27984
-143.835278,28488
-477.481851,30112
-105.734,30400
-42.157894,30604
-958.586406,30700
-26.996857,30764
-83.013729,30988
-24.578351,31044
-889.887063,31180
-30.246717,31260
-48.743383,31728
-1034.675881,31984
-33.773311,32052
-122.864194,32448
-8.472104,32508
-119.372116,32536
-3.511779,32588
-18.81222,32708
-32.048997,32728
-51.795805,32860
-21.766184,32936
-147.120329,33468
-34.103865,33680
-210.592872,33868
-8.628509,33900
-49.979253,34108
-65.555157,34364
-74.360575,34536
-36.297799,34720
-962.296466,34764
-61.974837,34924
-83.345419,34960
-923.077171,35044
-9.452049,35132
-44.440975,35176
-37.112056,35264
-12.772025,35336
-14.507613,35372
-9.183505,35480
-39.601526,35588
-58.032416,35724
-65.155176,35836
-55.951036,36076
-104.781689,36260
-18.576067,36376
-23.148505,36448
-61.451334,36676
-859.040904,37680
-28.122088,37796
-99.345203,38108
-61.429579,38332
-48.064876,38596
10.40882,38800
-1034.214532,38924
-98.380033,39024
-24.60322,39052
-11.2644,39124
-141.799386,39676
-20.324357,39752
-69.061334,40004
-938.281259,40076
-21.119049,40136
-56.141763,40196
-949.339959,40676
-174.397043,40800
-69.8985,40940
-32.59653,41000
-58.403659,41136
-70.34839,41248
-37.382662,41328
-31.69863,41408
-58.601041,41472
-16.412267,41544
-21.51403,41616
-936.203916,43124
-200.061629,43724
-991.600548,44136
-41.224309,44268
-12.309366,44340
-167.119058,44436
-37.021726,44472
-6.379463,44492
-33.661187,44680
-40.755237,44724
-28.175666,44752
-78.015506,44972
-12.25519,45044
-854.992772,45408
-102.81991,45464
-14.445965,45532
-14.88962,45596
-916.328775,45616
-70.672256,45812
-209.094237,45844
-74.386407,45884
-91.005063,45940
-52.385288,46088
-107.969591,46180
-25.056353,46252
-33.692413,46312
-146.871466,46424
-44.85494,46508
-53.910853,46732
-84.852137,46840
-123.210276,47520
