reward,timestep

-30.116737,104
-96.978957,312
-133.49594,516
-254.538906,680
-32.801632,792
-3.669272,904
-143.089596,944
-201.307694,956
-19.973408,1012
-21.232973,1060
-70.990562,1364
-171.214396,1816
-1041.852411,4516
-11.426343,4656
-42.591756,4724
-37.810187,4884
-1083.425812,4944
-49.02721,4984
-27.370786,5052
-1043.405007,5060
-31.544661,5220
-69.540527,5264
-59.828436,5404
-24.277328,5512
-83.748113,5532
-34.651091,5724
-1062.875936,5816
-19.024504,5864
-156.249863,5992
-84.657453,6004
-82.350857,6304
-204.230825,6576
-72.606814,6732
-53.667922,6820
-30.199502,6912
-20.01541,7024
-18.684618,7124
-151.279506,7188
-24.948489,7208
-54.526624,7484
-164.376595,8004
-14.913194,8084
-22.311438,8148
-61.613847,8312
-22.575948,8384
2.221688,8496
-78.595074,8872
-1144.185221,8944
-20.716145,8948
-59.144794,9136
-52.72015,9172
-15.866766,9308
-1045.771319,9992
-40.066504,10108
-45.234436,10200
-117.022728,10540
-17.849944,10660
-130.993777,11032
-1087.849959,11188
-1076.804705,13136
-36.145846,13280
-1102.934035,13308
-51.822243,13468
-17.821208,13532
-102.139783,13544
-47.589396,13704
-36.170015,13736
-60.509849,13908
-13.195844,14020
-68.496391,14076
-78.58303,14344
-1070.104629,15032
-1079.846489,15188
-27.295274,15252
-63.335459,15460
-27.665236,15572
-90.290886,15872
-27.828998,15992
-94.931138,16404
-50.637807,16616
-61.223043,16824
-43.098638,16932
-9.288781,17032
-82.606092,17288
-128.265424,17768
-11.695338,17824
-35.10438,17948
-998.891578,18020
-4.947438,18248
-938.337173,18344
-36.331266,18428
-40.789225,18492
-25.270179,18496
-22.479809,18560
-57.292711,18568
-21.065598,18652
-9.317341,18804
-937.280195,19032
-161.45872,19072
-98.369797,19308
-223.909388,19340
-41.66429,19372
-25.528824,19432
-44.641276,19548
-2.213036,19588
-18.721859,19776
-105.795215,19796
-133.087936,19800
-39.698964,19904
-30.594313,19944
-7.647067,19984
-15.705934,20100
-49.767521,20132
-90.040286,20168
-64.166764,20372
-58.364266,20384
-54.258873,20724
-21.946869,20852
-68.128124,21152
-8.233598,21196
-137.206821,21692
-80.632546,22068
-28.802989,22204
-31.274527,22308
-964.542635,23308
-109.032039,23612
-129.958275,23900
-43.310208,24040
-931.182919,24132
-25.548592,24276
-908.34785,24372
-55.865785,24472
-166.508946,24516
-45.222263,24684
-74.55406,25016
-39.135149,25060
-22.015704,25088
-25.391001,25140
-30.575783,25240
-9.435241,25292
-16.769775,25384
-114.267104,25804
-209.567244,25844
-40.197739,25980
-97.386226,26124
-64.865603,26204
-993.676945,26308
-34.695291,26376
-152.894894,26912
-20.99511,27008
-144.810179,27132
-309.778167,27212
-24.344671,27296
-29.587724,27496
-46.403221,27664
-60.189738,27812
-22.064792,27896
-127.279845,28148
-42.29242,28260
-49.051196,28284
-923.9948,28372
-87.157782,28784
-34.755773,28908
-9.06682,28940
-245.81778,29168
-8.366896,29228
-73.831784,29568
-7.066915,29604
-89.068287,29920
-152.496036,30512
