reward,timestep

-30.749895,124
-56.114237,228
-131.508966,360
-113.701566,384
-31.578913,432
-72.075315,448
-18.863909,480
-21.59177,512
-23.100572,540
-94.74198,584
-20.291623,620
-86.392763,652
-51.939211,684
-166.691099,1144
-173.524027,1364
-190.7281,1456
-59.084989,1504
-40.58727,1560
-46.321629,1680
-26.63904,1828
-201.016567,1900
-16.701292,1972
-41.525738,2140
-49.438864,2440
-193.189679,2672
-102.01707,2788
-50.737148,2876
-108.711894,2892
-127.245172,3292
-1120.973277,4620
-99.362735,4840
-27.868341,5012
-26.38702,5160
-1126.35733,5504
-57.535644,5636
-105.537074,5992
-17.256174,6112
-115.266197,6552
-1091.558287,6876
-0.90519,6940
-175.006768,7240
-1000.823213,7292
-143.368157,7392
-78.131557,7508
-134.360752,7608
-38.862574,7708
-98.03305,7724
-93.386863,7804
-22.562626,7884
-18.109223,7968
-83.918415,8020
-52.46639,8084
-57.645011,8276
-108.594921,8888
-340.994938,8892
-31.665044,9056
-1096.46075,9160
-66.456578,9200
-22.050847,9244
-67.94325,9308
-83.406511,9456
-64.078662,9532
-93.104437,9576
-26.24984,9652
-47.541151,9984
-149.895213,10112
-72.948549,10196
-16.267331,10264
-32.605829,10388
-104.083747,10540
-137.396018,10828
-25.341206,10856
-31.423518,10992
-62.442886,11144
-18.180605,11196
-87.459073,11316
-38.875621,11320
-47.028602,11448
-65.318967,11612
4.331732,11688
-1136.686948,11804
-200.802362,12120
-109.512838,12564
-1014.425552,13456
-63.383814,13700
-24.329777,13792
-128.57711,14224
-20.273167,14368
-143.887591,14952
-0.985792,15000
-15.666824,15056
-62.976491,15356
-16.186592,15448
-39.648847,15540
-14.657218,15668
-1049.965125,15688
-14.831994,15736
9.053901,15756
-1008.591616,15804
-24.956938,15884
-23.350135,15924
-14.146457,15948
-66.522185,16196
-90.455675,16216
-118.541203,16244
-11.703931,16252
-22.034259,16324
-50.641741,16332
-42.999561,16384
-7.587981,16460
-22.400222,16476
-67.692105,16556
-1040.863148,16564
-14.987978,16636
-57.099188,16672
-47.194519,17060
-72.570692,17072
-16.86879,17120
-5.096441,17164
-33.081899,17216
-51.09126,17368
-54.742475,17372
-41.011598,17548
-280.629671,17552
-18.752722,17624
-31.647302,17916
-58.023971,17972
-15.749018,18000
-81.020338,18520
-13.459886,18564
-80.718357,18964
-1048.136406,20636
-9.213373,20840
-59.54919,21148
-975.360217,21372
-39.137779,21556
-57.647531,21724
-165.672394,21864
-962.485094,22000
-64.17452,22112
-7.188467,22160
-101.580132,22208
-19.626095,22256
-44.12401,22348
-98.304029,22380
-71.068761,22612
-79.101966,22624
-20.945557,22732
-49.897645,22880
-953.403675,22964
-96.558825,23096
-55.629867,23140
-42.610456,23148
-39.714319,23264
-74.567328,23456
-19.326096,23460
-69.878761,23492
-105.322122,23788
-30.320456,23940
