anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward

True,SAC,1,20000,Humanoid-v4,111,222,333,444,env,11,SAC_1_20000_Humanoid-v4_111_222_333_444_env=11,163.44971726971607
True,SAC,2,20000,Humanoid-v4,111,222,333,444,env,3,SAC_2_20000_Humanoid-v4_111_222_333_444_env=3,231.3866913469163
True,SAC,3,20000,Humanoid-v4,111,222,333,444,env,9,SAC_3_20000_Humanoid-v4_111_222_333_444_env=9,272.8956043431288
False,SAC,1,20000,Humanoid-v4,111,222,333,444,env,5,SAC_1_20000_Humanoid-v4_111_222_333_444_env=5,179.871198359375
False,SAC,2,20000,Humanoid-v4,111,222,333,444,env,13,SAC_2_20000_Humanoid-v4_111_222_333_444_env=13,249.14343868540672
False,SAC,3,20000,Humanoid-v4,111,222,333,444,env,5,SAC_3_20000_Humanoid-v4_111_222_333_444_env=5,295.9609602186312
True,SAC,1,20000,Humanoid-v4,111,222,333,444,buffer,3,SAC_1_20000_Humanoid-v4_111_222_333_444_buffer=3,164.369719684127
True,SAC,2,20000,Humanoid-v4,111,222,333,444,buffer,4,SAC_2_20000_Humanoid-v4_111_222_333_444_buffer=4,229.1591139277108
True,SAC,3,20000,Humanoid-v4,111,222,333,444,buffer,6,SAC_3_20000_Humanoid-v4_111_222_333_444_buffer=6,268.3331354086956
False,SAC,1,20000,Humanoid-v4,111,222,333,444,buffer,6,SAC_1_20000_Humanoid-v4_111_222_333_444_buffer=6,175.5574921020408
False,SAC,2,20000,Humanoid-v4,111,222,333,444,buffer,6,SAC_2_20000_Humanoid-v4_111_222_333_444_buffer=6,245.7360758049645
False,SAC,3,20000,Humanoid-v4,111,222,333,444,buffer,8,SAC_3_20000_Humanoid-v4_111_222_333_444_buffer=8,288.5498105311628
True,SAC,1,20000,Humanoid-v4,111,222,333,444,noise,14,SAC_1_20000_Humanoid-v4_111_222_333_444_noise=14,169.45409267752444
