source,section,SMAPE,env,algorithm
env,1,11.064151230256744,Humanoid-v4,SAC
env,2,10.201797855485855,Humanoid-v4,SAC
env,3,11.384498525735719,Humanoid-v4,SAC
env,all,10.921303996547907,Humanoid-v4,SAC
buffer,1,10.52958160734294,Humanoid-v4,SAC
buffer,2,10.8215465812425,Humanoid-v4,SAC
buffer,3,12.88844257617715,Humanoid-v4,SAC
buffer,all,11.101990188841953,Humanoid-v4,SAC
noise,1,9.929481769631987,Humanoid-v4,SAC
noise,2,10.034579222291942,Humanoid-v4,SAC
noise,3,12.272016064869714,Humanoid-v4,SAC
noise,all,10.43640013309355,Humanoid-v4,SAC
policy,1,10.655045035099494,Humanoid-v4,SAC
policy,2,12.099423161971373,Humanoid-v4,SAC
policy,3,13.099188746001369,Humanoid-v4,SAC
policy,all,11.556994295170627,Humanoid-v4,SAC
env,1,13.746257416183157,HumanoidStandup-v4,SAC
env,2,22.947028276451515,HumanoidStandup-v4,SAC
env,3,21.580260775799793,HumanoidStandup-v4,SAC
env,all,19.520757151737392,HumanoidStandup-v4,SAC
buffer,1,16.853921467990478,HumanoidStandup-v4,SAC
buffer,2,21.4463975604324,HumanoidStandup-v4,SAC
buffer,3,16.633095951604524,HumanoidStandup-v4,SAC
buffer,all,18.335836917500973,HumanoidStandup-v4,SAC
noise,1,16.228159180271412,HumanoidStandup-v4,SAC
noise,2,20.667233294579397,HumanoidStandup-v4,SAC
noise,3,26.976382548907154,HumanoidStandup-v4,SAC
noise,all,21.37639561516759,HumanoidStandup-v4,SAC
policy,1,21.89474317762497,HumanoidStandup-v4,SAC
policy,2,16.105266020088386,HumanoidStandup-v4,SAC
policy,3,22.318822475258116,HumanoidStandup-v4,SAC
policy,all,20.075964242064483,HumanoidStandup-v4,SAC
env,1,57.76656319069231,Walker2d-v4,SAC
env,2,39.04706238592935,Walker2d-v4,SAC
env,3,35.2434605912575,Walker2d-v4,SAC
env,all,46.38265378790813,Walker2d-v4,SAC
buffer,1,54.13893474203948,Walker2d-v4,SAC
buffer,2,44.246348551439766,Walker2d-v4,SAC
buffer,3,55.973895723290845,Walker2d-v4,SAC
buffer,all,51.336554391881506,Walker2d-v4,SAC
noise,1,58.62311695596256,Walker2d-v4,SAC
noise,2,37.68996201385095,Walker2d-v4,SAC
noise,3,39.44188037793212,Walker2d-v4,SAC
noise,all,47.542108624006545,Walker2d-v4,SAC
policy,1,52.962558165346586,Walker2d-v4,SAC
policy,2,34.66965113033682,Walker2d-v4,SAC
policy,3,29.68004295599262,Walker2d-v4,SAC
policy,all,40.99153685123086,Walker2d-v4,SAC
env,1,65.89289326698173,Ant-v4,SAC
env,2,31.30986329484796,Ant-v4,SAC
env,3,23.23268982903272,Ant-v4,SAC
env,all,49.40995559631018,Ant-v4,SAC
buffer,1,63.77176260483232,Ant-v4,SAC
buffer,2,36.63628484942094,Ant-v4,SAC
buffer,3,27.55784358841172,Ant-v4,SAC
buffer,all,50.04147368647721,Ant-v4,SAC
noise,1,45.7366934359533,Ant-v4,SAC
noise,2,33.29803309773107,Ant-v4,SAC
noise,3,16.251959090946645,Ant-v4,SAC
noise,all,36.92204090231394,Ant-v4,SAC
policy,1,54.099178634270174,Ant-v4,SAC
policy,2,33.38141406641573,Ant-v4,SAC
policy,3,21.496305645422005,Ant-v4,SAC
policy,all,40.67964787887676,Ant-v4,SAC
env,1,59.74332563729594,Ant-v4,PPO
env,2,46.779048603053205,Ant-v4,PPO
env,3,34.44628076004109,Ant-v4,PPO
env,all,52.08416789883796,Ant-v4,PPO
buffer,1,61.17236749993526,Ant-v4,PPO
buffer,2,48.69225154056717,Ant-v4,PPO
buffer,3,36.54200122647368,Ant-v4,PPO
buffer,all,53.672047241493225,Ant-v4,PPO
noise,1,62.841882927165614,Ant-v4,PPO
noise,2,47.61469316775836,Ant-v4,PPO
noise,3,30.894895202183992,Ant-v4,PPO
noise,all,54.00510824346259,Ant-v4,PPO
policy,all,54.64355779355468,Ant-v4,PPO
env,1,31.466516392377343,BipedalWalker-v3,PPO
env,2,92.15310464529811,BipedalWalker-v3,PPO
env,3,72.83035538510605,BipedalWalker-v3,PPO
env,all,60.91201905023378,BipedalWalker-v3,PPO
buffer,1,27.590113341680865,BipedalWalker-v3,PPO
buffer,2,79.9439996362286,BipedalWalker-v3,PPO
buffer,3,82.88126158329779,BipedalWalker-v3,PPO
buffer,all,58.56143185215544,BipedalWalker-v3,PPO
noise,1,37.012596678091626,BipedalWalker-v3,PPO
noise,2,83.07036244800217,BipedalWalker-v3,PPO
noise,3,89.74945543430877,BipedalWalker-v3,PPO
noise,all,69.68529899990784,BipedalWalker-v3,PPO
policy,all,63.26684145896779,BipedalWalker-v3,PPO
env,1,8.713450456059187,BipedalWalker-v3,SAC
env,2,9.427184403733268,BipedalWalker-v3,SAC
env,3,11.224542140641107,BipedalWalker-v3,SAC
env,all,9.86923002207963,BipedalWalker-v3,SAC
buffer,1,6.3296297396098185,BipedalWalker-v3,SAC
buffer,2,21.294892164789964,BipedalWalker-v3,SAC
buffer,3,21.217655073877207,BipedalWalker-v3,SAC
buffer,all,12.951823373161153,BipedalWalker-v3,SAC
noise,1,6.802238655966862,BipedalWalker-v3,SAC
