model_name,average_reward
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=17,-116.90476043209875
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=13,-116.74393350617282
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=19,-117.38048743209875
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=12,-117.14030555555556
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=11,-117.22878730864196
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=10,-117.14511818518521
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=39,-117.01427537037037
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=14,-117.12462385185184
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=48,-117.10237785185187
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=21,-116.99611093827161
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=23,-117.01439140740742
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=26,-117.50156977777779
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=5,-116.96316060493828
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=8,-117.19576079012346
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=9,-116.90326186419752
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=4,-117.2401905925926
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=18,-117.47871830864196
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=47,-117.18266449382718
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=29,-116.78528156790122
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=31,-117.49411056790125
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=7,-116.69281632098765
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=27,-116.88334728395061
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=6,-117.11903486419752
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=22,-116.72732890123459
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=37,-117.1832757777778
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=34,-116.74786327160493
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=1,-117.09952108641974
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=42,-116.95094614814812
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=24,-117.05133786419755
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=50,-117.16138996296297
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=30,-117.15534982716049
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=15,-116.98530485185184
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=33,-116.9411392222222
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=16,-117.25452151851853
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=38,-117.21367695061727
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=46,-116.98011814814814
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=45,-117.2538154074074
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=32,-117.11129302469136
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=35,-117.10929087654318
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=20,-117.0320444691358
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=3,-116.75583269135802
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=2,-116.84855579012344
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=28,-116.96300425925925
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=41,-116.93201524691358
PPO_0_30000_Pusher-v4_111_222_333_444_buffer=44,-116.85023495061729
