model_name,average_reward
PPO_0_30000_Pusher-v4_111_222_333_444_env=26,-117.48942925925927
PPO_0_30000_Pusher-v4_111_222_333_444_env=12,-115.85738654320987
PPO_0_30000_Pusher-v4_111_222_333_444_env=16,-117.43486370370371
PPO_0_30000_Pusher-v4_111_222_333_444_env=15,-116.97843474074072
PPO_0_30000_Pusher-v4_111_222_333_444_env=43,-116.68580012345677
PPO_0_30000_Pusher-v4_111_222_333_444_env=39,-116.50318009876541
PPO_0_30000_Pusher-v4_111_222_333_444_env=29,-117.5286819506173
PPO_0_30000_Pusher-v4_111_222_333_444_env=1,-116.63655550617284
PPO_0_30000_Pusher-v4_111_222_333_444_env=5,-116.49388060493828
PPO_0_30000_Pusher-v4_111_222_333_444_env=6,-117.20052238271606
PPO_0_30000_Pusher-v4_111_222_333_444_env=24,-116.3795750123457
PPO_0_30000_Pusher-v4_111_222_333_444_env=44,-116.37017169135804
PPO_0_30000_Pusher-v4_111_222_333_444_env=32,-116.5363532839506
PPO_0_30000_Pusher-v4_111_222_333_444_env=41,-116.64477728395065
PPO_0_30000_Pusher-v4_111_222_333_444_env=7,-117.38093327160493
PPO_0_30000_Pusher-v4_111_222_333_444_env=48,-116.8715702962963
PPO_0_30000_Pusher-v4_111_222_333_444_env=27,-116.87830434567901
PPO_0_30000_Pusher-v4_111_222_333_444_env=33,-115.89779434567902
PPO_0_30000_Pusher-v4_111_222_333_444_env=28,-115.89341009876543
PPO_0_30000_Pusher-v4_111_222_333_444_env=22,-117.39004107407408
PPO_0_30000_Pusher-v4_111_222_333_444_env=3,-116.44041445679011
PPO_0_30000_Pusher-v4_111_222_333_444_env=25,-116.77554676543211
PPO_0_30000_Pusher-v4_111_222_333_444_env=23,-116.23249840740742
PPO_0_30000_Pusher-v4_111_222_333_444_env=30,-117.37675964197533
PPO_0_30000_Pusher-v4_111_222_333_444_env=8,-117.23882045679017
PPO_0_30000_Pusher-v4_111_222_333_444_env=46,-116.37933620987654
