model_name,average_reward
PPO_0_30000_Pusher-v4_111_222_333_444_noise=6,-115.42395996296297
PPO_0_30000_Pusher-v4_111_222_333_444_noise=25,-116.33389824691356
PPO_0_30000_Pusher-v4_111_222_333_444_noise=2,-117.50669839506172
PPO_0_30000_Pusher-v4_111_222_333_444_noise=14,-115.32111843209876
PPO_0_30000_Pusher-v4_111_222_333_444_noise=26,-118.10471367901235
PPO_0_30000_Pusher-v4_111_222_333_444_noise=16,-114.27599932098767
PPO_0_30000_Pusher-v4_111_222_333_444_noise=15,-117.58662893827162
PPO_0_30000_Pusher-v4_111_222_333_444_noise=33,-116.90756769135803
PPO_0_30000_Pusher-v4_111_222_333_444_noise=38,-118.39656698765432
PPO_0_30000_Pusher-v4_111_222_333_444_noise=21,-118.3907314691358
PPO_0_30000_Pusher-v4_111_222_333_444_noise=13,-116.08281586419753
PPO_0_30000_Pusher-v4_111_222_333_444_noise=44,-116.62520055555557
PPO_0_30000_Pusher-v4_111_222_333_444_noise=19,-118.85882158024691
PPO_0_30000_Pusher-v4_111_222_333_444_noise=22,-116.6235140617284
PPO_0_30000_Pusher-v4_111_222_333_444_noise=12,-117.62324397530865
PPO_0_30000_Pusher-v4_111_222_333_444_noise=49,-118.06957961728395
PPO_0_30000_Pusher-v4_111_222_333_444_noise=45,-116.29911049382719
PPO_0_30000_Pusher-v4_111_222_333_444_noise=3,-117.18583866666665
PPO_0_30000_Pusher-v4_111_222_333_444_noise=40,-118.91836493827162
PPO_0_30000_Pusher-v4_111_222_333_444_noise=4,-116.82840481481482
PPO_0_30000_Pusher-v4_111_222_333_444_noise=18,-117.65761651851851
PPO_0_30000_Pusher-v4_111_222_333_444_noise=32,-118.22616244444443
PPO_0_30000_Pusher-v4_111_222_333_444_noise=50,-116.90847945679015
PPO_0_30000_Pusher-v4_111_222_333_444_noise=29,-118.26652286419751
PPO_0_30000_Pusher-v4_111_222_333_444_noise=27,-118.02235216049384
PPO_0_30000_Pusher-v4_111_222_333_444_noise=36,-117.42949391358025
PPO_0_30000_Pusher-v4_111_222_333_444_noise=7,-115.57196175308643
PPO_0_30000_Pusher-v4_111_222_333_444_noise=30,-116.48314766666667
PPO_0_30000_Pusher-v4_111_222_333_444_noise=23,-116.15484174074075
PPO_0_30000_Pusher-v4_111_222_333_444_noise=11,-117.41811737037038
PPO_0_30000_Pusher-v4_111_222_333_444_noise=43,-116.24714961728395
PPO_0_30000_Pusher-v4_111_222_333_444_noise=8,-117.83275988888887
PPO_0_30000_Pusher-v4_111_222_333_444_noise=47,-116.72982049382718
PPO_0_30000_Pusher-v4_111_222_333_444_noise=46,-116.55217181481481
PPO_0_30000_Pusher-v4_111_222_333_444_noise=34,-115.38216982716051
PPO_0_30000_Pusher-v4_111_222_333_444_noise=31,-115.7585129876543
PPO_0_30000_Pusher-v4_111_222_333_444_noise=24,-115.31329309876543
PPO_0_30000_Pusher-v4_111_222_333_444_noise=28,-116.86543155555556
PPO_0_30000_Pusher-v4_111_222_333_444_noise=37,-115.62125218518517
PPO_0_30000_Pusher-v4_111_222_333_444_noise=5,-118.16695517283951
PPO_0_30000_Pusher-v4_111_222_333_444_noise=9,-116.44138082716051
PPO_0_30000_Pusher-v4_111_222_333_444_noise=20,-117.65495669135804
PPO_0_30000_Pusher-v4_111_222_333_444_noise=1,-116.07521065432101
PPO_0_30000_Pusher-v4_111_222_333_444_noise=39,-117.46068979012347
PPO_0_30000_Pusher-v4_111_222_333_444_noise=41,-116.99214913580246
PPO_0_30000_Pusher-v4_111_222_333_444_noise=10,-118.16375820987653
PPO_0_30000_Pusher-v4_111_222_333_444_noise=17,-116.67507498765433
PPO_0_30000_Pusher-v4_111_222_333_444_noise=48,-118.71191681481481
PPO_0_30000_Pusher-v4_111_222_333_444_noise=35,-116.68730583950617
PPO_0_30000_Pusher-v4_111_222_333_444_noise=42,-117.30545123456788
PPO_0_30000_Pusher-v4_111_222_333_444_noise=57,-117.26834259259257
PPO_0_30000_Pusher-v4_111_222_333_444_noise=64,-115.98811888888889
PPO_0_30000_Pusher-v4_111_222_333_444_noise=53,-115.2287492469136
PPO_0_30000_Pusher-v4_111_222_333_444_noise=65,-116.2481471728395
PPO_0_30000_Pusher-v4_111_222_333_444_noise=68,-115.37761941975306
PPO_0_30000_Pusher-v4_111_222_333_444_noise=86,-116.3687578395062
PPO_0_30000_Pusher-v4_111_222_333_444_noise=97,-117.95014512345679
PPO_0_30000_Pusher-v4_111_222_333_444_noise=83,-116.62096324691358
PPO_0_30000_Pusher-v4_111_222_333_444_noise=62,-118.03976876543207
PPO_0_30000_Pusher-v4_111_222_333_444_noise=93,-116.50719950617284
PPO_0_30000_Pusher-v4_111_222_333_444_noise=52,-116.19104171604937
PPO_0_30000_Pusher-v4_111_222_333_444_noise=51,-116.10274981481481
PPO_0_30000_Pusher-v4_111_222_333_444_noise=63,-117.37014848148146
PPO_0_30000_Pusher-v4_111_222_333_444_noise=59,-117.00016188888888
PPO_0_30000_Pusher-v4_111_222_333_444_noise=67,-117.58188924691359
PPO_0_30000_Pusher-v4_111_222_333_444_noise=95,-115.64054419753086
PPO_0_30000_Pusher-v4_111_222_333_444_noise=60,-117.46589862962962
PPO_0_30000_Pusher-v4_111_222_333_444_noise=80,-116.35313606172838
PPO_0_30000_Pusher-v4_111_222_333_444_noise=56,-117.03494851851853
PPO_0_30000_Pusher-v4_111_222_333_444_noise=96,-117.92784748148145
PPO_0_30000_Pusher-v4_111_222_333_444_noise=76,-119.61601300000001
