model_name,average_reward
PPO_0_30000_Pusher-v4_111_222_333_444_policy=54,-116.89572381481484
PPO_0_30000_Pusher-v4_111_222_333_444_policy=73,-117.04490416049384
PPO_0_30000_Pusher-v4_111_222_333_444_policy=57,-117.20468971604936
PPO_0_30000_Pusher-v4_111_222_333_444_policy=64,-117.22491269135803
PPO_0_30000_Pusher-v4_111_222_333_444_policy=99,-116.9762698765432
PPO_0_30000_Pusher-v4_111_222_333_444_policy=87,-117.16234553086421
PPO_0_30000_Pusher-v4_111_222_333_444_policy=52,-116.93119882716053
PPO_0_30000_Pusher-v4_111_222_333_444_policy=74,-116.96830150617284
PPO_0_30000_Pusher-v4_111_222_333_444_policy=82,-117.07640797530865
PPO_0_30000_Pusher-v4_111_222_333_444_policy=63,-117.16407677777777
PPO_0_30000_Pusher-v4_111_222_333_444_policy=56,-116.72355780246913
PPO_0_30000_Pusher-v4_111_222_333_444_policy=72,-117.25901483950616
PPO_0_30000_Pusher-v4_111_222_333_444_policy=77,-116.91005575308643
PPO_0_30000_Pusher-v4_111_222_333_444_policy=78,-117.04070448148148
PPO_0_30000_Pusher-v4_111_222_333_444_policy=84,-117.07830622222222
PPO_0_30000_Pusher-v4_111_222_333_444_policy=100,-116.93669355555555
PPO_0_30000_Pusher-v4_111_222_333_444_policy=93,-116.91026566666667
PPO_0_30000_Pusher-v4_111_222_333_444_policy=88,-116.91274039506176
PPO_0_30000_Pusher-v4_111_222_333_444_policy=81,-116.8348944691358
PPO_0_30000_Pusher-v4_111_222_333_444_policy=96,-117.07025532098766
PPO_0_30000_Pusher-v4_111_222_333_444_policy=65,-117.14818451851852
PPO_0_30000_Pusher-v4_111_222_333_444_policy=90,-117.1179391111111
PPO_0_30000_Pusher-v4_111_222_333_444_policy=58,-116.96478534567902
PPO_0_30000_Pusher-v4_111_222_333_444_policy=66,-117.27357980246914
PPO_0_30000_Pusher-v4_111_222_333_444_policy=83,-116.93347300000002
PPO_0_30000_Pusher-v4_111_222_333_444_policy=75,-117.30699487654323
PPO_0_30000_Pusher-v4_111_222_333_444_policy=55,-117.09234688888888
PPO_0_30000_Pusher-v4_111_222_333_444_policy=92,-116.93773416049383
PPO_0_30000_Pusher-v4_111_222_333_444_policy=71,-117.0411774691358
PPO_0_30000_Pusher-v4_111_222_333_444_policy=79,-117.04180966666667
PPO_0_30000_Pusher-v4_111_222_333_444_policy=53,-116.92158576543211
PPO_0_30000_Pusher-v4_111_222_333_444_policy=97,-117.13253013580245
PPO_0_30000_Pusher-v4_111_222_333_444_policy=60,-117.12072338271604
PPO_0_30000_Pusher-v4_111_222_333_444_policy=80,-116.82340728395062
PPO_0_30000_Pusher-v4_111_222_333_444_policy=86,-116.95090148148147
PPO_0_30000_Pusher-v4_111_222_333_444_policy=89,-117.04412897530865
PPO_0_30000_Pusher-v4_111_222_333_444_policy=62,-117.11249320987653
PPO_0_30000_Pusher-v4_111_222_333_444_policy=68,-117.14355075308642
PPO_0_30000_Pusher-v4_111_222_333_444_policy=69,-117.35874239506174
PPO_0_30000_Pusher-v4_111_222_333_444_policy=59,-116.94672824691355
PPO_0_30000_Pusher-v4_111_222_333_444_policy=67,-117.13400466666664
PPO_0_30000_Pusher-v4_111_222_333_444_policy=76,-117.23498291358025
PPO_0_30000_Pusher-v4_111_222_333_444_policy=98,-117.26536675308641
PPO_0_30000_Pusher-v4_111_222_333_444_policy=94,-117.14638980246916
PPO_0_30000_Pusher-v4_111_222_333_444_policy=70,-117.06448709876543
PPO_0_30000_Pusher-v4_111_222_333_444_policy=85,-116.91892827160491
PPO_0_30000_Pusher-v4_111_222_333_444_policy=51,-117.10042392592595
PPO_0_30000_Pusher-v4_111_222_333_444_policy=91,-117.0472211728395
PPO_0_30000_Pusher-v4_111_222_333_444_policy=95,-117.17849250617284
PPO_0_30000_Pusher-v4_111_222_333_444_policy=61,-116.99431874074074
PPO_0_30000_Pusher-v4_111_222_333_444_policy=20,-117.22758613580248
PPO_0_30000_Pusher-v4_111_222_333_444_policy=16,-117.16976525925926
PPO_0_30000_Pusher-v4_111_222_333_444_policy=3,-116.96833096296297
PPO_0_30000_Pusher-v4_111_222_333_444_policy=11,-116.84111756790125
PPO_0_30000_Pusher-v4_111_222_333_444_policy=24,-117.05538545679013
PPO_0_30000_Pusher-v4_111_222_333_444_policy=19,-117.11626739506171
PPO_0_30000_Pusher-v4_111_222_333_444_policy=22,-117.41719406172838
PPO_0_30000_Pusher-v4_111_222_333_444_policy=50,-117.16095088888888
PPO_0_30000_Pusher-v4_111_222_333_444_policy=26,-117.06237396296297
PPO_0_30000_Pusher-v4_111_222_333_444_policy=2,-117.01436951851854
PPO_0_30000_Pusher-v4_111_222_333_444_policy=41,-117.2006382469136
PPO_0_30000_Pusher-v4_111_222_333_444_policy=46,-117.2719274691358
PPO_0_30000_Pusher-v4_111_222_333_444_policy=14,-117.09284918518519
PPO_0_30000_Pusher-v4_111_222_333_444_policy=33,-116.71775892592593
PPO_0_30000_Pusher-v4_111_222_333_444_policy=10,-117.05195296296296
PPO_0_30000_Pusher-v4_111_222_333_444_policy=38,-117.1303270617284
PPO_0_30000_Pusher-v4_111_222_333_444_policy=47,-117.1172244691358
PPO_0_30000_Pusher-v4_111_222_333_444_policy=36,-116.94569156790122
PPO_0_30000_Pusher-v4_111_222_333_444_policy=18,-116.73307562962962
PPO_0_30000_Pusher-v4_111_222_333_444_policy=15,-116.86704079012344
PPO_0_30000_Pusher-v4_111_222_333_444_policy=13,-117.12168609876542
PPO_0_30000_Pusher-v4_111_222_333_444_policy=31,-116.89639166666664
PPO_0_30000_Pusher-v4_111_222_333_444_policy=1,-116.98244272839506
PPO_0_30000_Pusher-v4_111_222_333_444_policy=34,-116.88137281481481
PPO_0_30000_Pusher-v4_111_222_333_444_policy=49,-117.05902914814814
PPO_0_30000_Pusher-v4_111_222_333_444_policy=35,-117.21948816049384
PPO_0_30000_Pusher-v4_111_222_333_444_policy=39,-116.83415093827159
PPO_0_30000_Pusher-v4_111_222_333_444_policy=27,-117.07260651851851
PPO_0_30000_Pusher-v4_111_222_333_444_policy=4,-117.01451523456791
PPO_0_30000_Pusher-v4_111_222_333_444_policy=45,-117.09572698765433
PPO_0_30000_Pusher-v4_111_222_333_444_policy=28,-117.01856892592592
PPO_0_30000_Pusher-v4_111_222_333_444_policy=8,-117.14247054320987
PPO_0_30000_Pusher-v4_111_222_333_444_policy=12,-116.97144296296295
PPO_0_30000_Pusher-v4_111_222_333_444_policy=21,-116.75513185185186
PPO_0_30000_Pusher-v4_111_222_333_444_policy=40,-117.07088258024692
PPO_0_30000_Pusher-v4_111_222_333_444_policy=17,-117.08908523456789
PPO_0_30000_Pusher-v4_111_222_333_444_policy=23,-116.78067062962963
PPO_0_30000_Pusher-v4_111_222_333_444_policy=29,-116.9642728765432
PPO_0_30000_Pusher-v4_111_222_333_444_policy=9,-116.87294159259258
PPO_0_30000_Pusher-v4_111_222_333_444_policy=43,-116.9670304074074
PPO_0_30000_Pusher-v4_111_222_333_444_policy=5,-117.02013077777778
PPO_0_30000_Pusher-v4_111_222_333_444_policy=6,-117.13069537037039
PPO_0_30000_Pusher-v4_111_222_333_444_policy=30,-116.91713722222224
PPO_0_30000_Pusher-v4_111_222_333_444_policy=32,-117.06450907407407
PPO_0_30000_Pusher-v4_111_222_333_444_policy=25,-116.91592649382716
PPO_0_30000_Pusher-v4_111_222_333_444_policy=42,-116.94612775308642
PPO_0_30000_Pusher-v4_111_222_333_444_policy=48,-116.90584375308642
PPO_0_30000_Pusher-v4_111_222_333_444_policy=7,-117.14606395061728
PPO_0_30000_Pusher-v4_111_222_333_444_policy=44,-117.1531861728395
PPO_0_30000_Pusher-v4_111_222_333_444_policy=37,-117.12329000000001

