model_name,average_reward
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=31,-71.858434
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=23,-73.93565941137123
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=4,-67.90903953511706
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=17,-73.32276997993311
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=20,-68.15598098996655
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=3,-70.44227000668896
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=30,-72.69713151170569
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=15,-71.3667546722408
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=2,-68.14109391973244
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=47,-72.25511644147159
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=32,-73.66212489966554
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=35,-73.3459003076923
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=8,-70.2081781839465
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=46,-68.43473088294316
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=6,-68.42761980602006
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=39,-68.54777217391305
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=5,-73.23166456187292
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=37,-68.88604664882942
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=25,-69.77087198996655
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=40,-67.80474004347826
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=36,-72.16717768561873
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=22,-68.75297478595317
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=12,-72.88561984280936
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=16,-71.9440087424749
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=13,-73.68910575585285
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=19,-67.76958669230768
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=42,-72.6416499431438
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=48,-67.93653833444816
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=7,-71.85316561204013
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=9,-68.66901078595318
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=49,-72.39948290301004
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=1,-71.29064562876253
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=14,-71.49858792976589
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=21,-68.58155601672242
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=34,-68.61393058862878
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=43,-69.29565598996656
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=41,-72.68504613377927
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=27,-67.66141585953177
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=38,-73.69985427090302
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=44,-68.00223800334447
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=50,-68.95787644147157
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=45,-72.65965084949833
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=10,-68.16512940802674
SAC_0_30000_Pusher-v4_333_100_25_1_buffer=18,-71.69271933110369
