model_name,average_reward
SAC_0_30000_Pusher-v4_333_100_25_1_env=28,-72.10618842474918
SAC_0_30000_Pusher-v4_333_100_25_1_env=5,-70.42701557525083
SAC_0_30000_Pusher-v4_333_100_25_1_env=17,-69.58187463210703
SAC_0_30000_Pusher-v4_333_100_25_1_env=9,-71.02612088628763
SAC_0_30000_Pusher-v4_333_100_25_1_env=16,-69.81891773578594
SAC_0_30000_Pusher-v4_333_100_25_1_env=4,-69.9022526555184
SAC_0_30000_Pusher-v4_333_100_25_1_env=15,-70.42692947826087
SAC_0_30000_Pusher-v4_333_100_25_1_env=20,-73.65411906354515
SAC_0_30000_Pusher-v4_333_100_25_1_env=12,-71.73204888294315
SAC_0_30000_Pusher-v4_333_100_25_1_env=30,-73.48585464214045
SAC_0_30000_Pusher-v4_333_100_25_1_env=2,-71.84664256187291
SAC_0_30000_Pusher-v4_333_100_25_1_env=46,-73.74740280602008
SAC_0_30000_Pusher-v4_333_100_25_1_env=43,-69.7686969264214
SAC_0_30000_Pusher-v4_333_100_25_1_env=25,-70.10948210367893
SAC_0_30000_Pusher-v4_333_100_25_1_env=7,-70.26543707357858
SAC_0_30000_Pusher-v4_333_100_25_1_env=6,-70.69037460869566
SAC_0_30000_Pusher-v4_333_100_25_1_env=36,-72.12583636120402
SAC_0_30000_Pusher-v4_333_100_25_1_env=47,-72.12252053177258
SAC_0_30000_Pusher-v4_333_100_25_1_env=24,-74.41168002675585
SAC_0_30000_Pusher-v4_333_100_25_1_env=3,-72.2180897257525
SAC_0_30000_Pusher-v4_333_100_25_1_env=50,-70.83292837123746
SAC_0_30000_Pusher-v4_333_100_25_1_env=39,-69.35498898996656
SAC_0_30000_Pusher-v4_333_100_25_1_env=32,-70.50747517056857
SAC_0_30000_Pusher-v4_333_100_25_1_env=1,-68.4256260735786
SAC_0_30000_Pusher-v4_333_100_25_1_env=40,-70.3421927625418
SAC_0_30000_Pusher-v4_333_100_25_1_env=18,-72.21410295986622
SAC_0_30000_Pusher-v4_333_100_25_1_env=11,-72.75700096655518
SAC_0_30000_Pusher-v4_333_100_25_1_env=45,-71.40740293311038
SAC_0_30000_Pusher-v4_333_100_25_1_env=42,-70.58439257525083
SAC_0_30000_Pusher-v4_333_100_25_1_env=38,-70.66913744816054
SAC_0_30000_Pusher-v4_333_100_25_1_env=23,-70.75194856856187
SAC_0_30000_Pusher-v4_333_100_25_1_env=22,-69.75698266220735
SAC_0_30000_Pusher-v4_333_100_25_1_env=41,-71.58056513712374
SAC_0_30000_Pusher-v4_333_100_25_1_env=48,-70.34825309030101
SAC_0_30000_Pusher-v4_333_100_25_1_env=34,-71.46318930769232
SAC_0_30000_Pusher-v4_333_100_25_1_env=21,-71.18818800334448
SAC_0_30000_Pusher-v4_333_100_25_1_env=14,-72.90779911705685
SAC_0_30000_Pusher-v4_333_100_25_1_env=26,-69.68007188628762
SAC_0_30000_Pusher-v4_333_100_25_1_env=19,-69.50195322408027
SAC_0_30000_Pusher-v4_333_100_25_1_env=37,-69.34151890301003
SAC_0_30000_Pusher-v4_333_100_25_1_env=8,-73.54773247157189
SAC_0_30000_Pusher-v4_333_100_25_1_env=44,-69.49178697993311
SAC_0_30000_Pusher-v4_333_100_25_1_env=27,-70.62978900334448
SAC_0_30000_Pusher-v4_333_100_25_1_env=29,-74.88061046488295
SAC_0_30000_Pusher-v4_333_100_25_1_env=33,-69.80024637458195
SAC_0_30000_Pusher-v4_333_100_25_1_env=31,-74.33282778595319
SAC_0_30000_Pusher-v4_333_100_25_1_env=13,-69.88376256187291
SAC_0_30000_Pusher-v4_333_100_25_1_env=35,-72.60723327759196
SAC_0_30000_Pusher-v4_333_100_25_1_env=10,-72.54833747491638
SAC_0_30000_Pusher-v4_333_100_25_1_env=49,-69.96517053177257
SAC_0_30000_Pusher-v4_333_100_25_1_env=84,-69.30805709698997
SAC_0_30000_Pusher-v4_333_100_25_1_env=74,-71.94493050836121
SAC_0_30000_Pusher-v4_333_100_25_1_env=57,-70.85959913377927
SAC_0_30000_Pusher-v4_333_100_25_1_env=58,-68.83621685618729
SAC_0_30000_Pusher-v4_333_100_25_1_env=62,-70.78208086622075
SAC_0_30000_Pusher-v4_333_100_25_1_env=95,-70.30223990301003
SAC_0_30000_Pusher-v4_333_100_25_1_env=77,-69.62325418394649
SAC_0_30000_Pusher-v4_333_100_25_1_env=68,-69.74179409030098
SAC_0_30000_Pusher-v4_333_100_25_1_env=56,-70.18813459197325
SAC_0_30000_Pusher-v4_333_100_25_1_env=94,-71.06217430434782
SAC_0_30000_Pusher-v4_333_100_25_1_env=86,-69.47406171237458
SAC_0_30000_Pusher-v4_333_100_25_1_env=78,-71.0362954548495
SAC_0_30000_Pusher-v4_333_100_25_1_env=82,-69.08328859531774
SAC_0_30000_Pusher-v4_333_100_25_1_env=80,-70.76058156187291
SAC_0_30000_Pusher-v4_333_100_25_1_env=63,-71.03421625752509
SAC_0_30000_Pusher-v4_333_100_25_1_env=60,-72.17664696989966
SAC_0_30000_Pusher-v4_333_100_25_1_env=96,-70.5642972742475
SAC_0_30000_Pusher-v4_333_100_25_1_env=85,-69.63311893311037
SAC_0_30000_Pusher-v4_333_100_25_1_env=69,-73.70731891304348
SAC_0_30000_Pusher-v4_333_100_25_1_env=81,-70.83111545150501
SAC_0_30000_Pusher-v4_333_100_25_1_env=87,-68.85511892307693
SAC_0_30000_Pusher-v4_333_100_25_1_env=100,-70.12588239799331
SAC_0_30000_Pusher-v4_333_100_25_1_env=55,-69.95078568896321
SAC_0_30000_Pusher-v4_333_100_25_1_env=73,-71.56539208695654
SAC_0_30000_Pusher-v4_333_100_25_1_env=93,-71.6704032341137
SAC_0_30000_Pusher-v4_333_100_25_1_env=71,-70.36741477257524
SAC_0_30000_Pusher-v4_333_100_25_1_env=91,-70.24338509364549
SAC_0_30000_Pusher-v4_333_100_25_1_env=76,-70.97734763210703
SAC_0_30000_Pusher-v4_333_100_25_1_env=53,-69.70775159866221
SAC_0_30000_Pusher-v4_333_100_25_1_env=52,-70.03099053511707
SAC_0_30000_Pusher-v4_333_100_25_1_env=67,-70.43474442474916
SAC_0_30000_Pusher-v4_333_100_25_1_env=65,-69.92968671906354
SAC_0_30000_Pusher-v4_333_100_25_1_env=64,-74.66899370568561
SAC_0_30000_Pusher-v4_333_100_25_1_env=51,-70.73247479264214
SAC_0_30000_Pusher-v4_333_100_25_1_env=66,-73.58411171906356
SAC_0_30000_Pusher-v4_333_100_25_1_env=59,-73.79721087959865
SAC_0_30000_Pusher-v4_333_100_25_1_env=92,-74.61500761538463
SAC_0_30000_Pusher-v4_333_100_25_1_env=90,-70.50058015384616
SAC_0_30000_Pusher-v4_333_100_25_1_env=75,-70.34273983946488
SAC_0_30000_Pusher-v4_333_100_25_1_env=88,-69.75201998662207
SAC_0_30000_Pusher-v4_333_100_25_1_env=70,-71.09962907692308
SAC_0_30000_Pusher-v4_333_100_25_1_env=97,-71.66192885618729
SAC_0_30000_Pusher-v4_333_100_25_1_env=89,-71.79944012709029
SAC_0_30000_Pusher-v4_333_100_25_1_env=98,-70.33846434113713
SAC_0_30000_Pusher-v4_333_100_25_1_env=61,-72.79279006688964
SAC_0_30000_Pusher-v4_333_100_25_1_env=99,-72.60486398996655
SAC_0_30000_Pusher-v4_333_100_25_1_env=83,-71.91542111371238
SAC_0_30000_Pusher-v4_333_100_25_1_env=79,-69.14928756521739
SAC_0_30000_Pusher-v4_333_100_25_1_env=72,-68.80935960869563
SAC_0_30000_Pusher-v4_333_100_25_1_env=54,-72.62532534448161
