model_name,average_reward
SAC_0_30000_Pusher-v4_333_100_25_1_noise=9,-69.44896135451505
SAC_0_30000_Pusher-v4_333_100_25_1_noise=11,-68.66572177926422
SAC_0_30000_Pusher-v4_333_100_25_1_noise=18,-69.18320335451506
SAC_0_30000_Pusher-v4_333_100_25_1_noise=24,-69.78292303344482
SAC_0_30000_Pusher-v4_333_100_25_1_noise=12,-68.48957316053512
SAC_0_30000_Pusher-v4_333_100_25_1_noise=7,-68.16050257859531
SAC_0_30000_Pusher-v4_333_100_25_1_noise=26,-72.6779922006689
SAC_0_30000_Pusher-v4_333_100_25_1_noise=22,-69.67329842809364
SAC_0_30000_Pusher-v4_333_100_25_1_noise=39,-67.84870907357859
SAC_0_30000_Pusher-v4_333_100_25_1_noise=37,-68.874315090301
SAC_0_30000_Pusher-v4_333_100_25_1_noise=25,-71.29064562876253
SAC_0_30000_Pusher-v4_333_100_25_1_noise=46,-73.0741716722408
SAC_0_30000_Pusher-v4_333_100_25_1_noise=45,-74.68002153511706
SAC_0_30000_Pusher-v4_333_100_25_1_noise=35,-70.0387224147157
SAC_0_30000_Pusher-v4_333_100_25_1_noise=15,-68.37712819397994
SAC_0_30000_Pusher-v4_333_100_25_1_noise=5,-73.76756776923077
SAC_0_30000_Pusher-v4_333_100_25_1_noise=21,-71.25479980936456
SAC_0_30000_Pusher-v4_333_100_25_1_noise=47,-69.2396629464883
SAC_0_30000_Pusher-v4_333_100_25_1_noise=2,-69.13825993979933
SAC_0_30000_Pusher-v4_333_100_25_1_noise=10,-71.92226619397994
SAC_0_30000_Pusher-v4_333_100_25_1_noise=27,-71.52432048829432
SAC_0_30000_Pusher-v4_333_100_25_1_noise=49,-68.79293181939799
SAC_0_30000_Pusher-v4_333_100_25_1_noise=8,-72.39157341471572
SAC_0_30000_Pusher-v4_333_100_25_1_noise=43,-68.04219097324415
SAC_0_30000_Pusher-v4_333_100_25_1_noise=33,-72.87423049498328
SAC_0_30000_Pusher-v4_333_100_25_1_noise=4,-69.45334212374583
SAC_0_30000_Pusher-v4_333_100_25_1_noise=23,-68.74486834113712
SAC_0_30000_Pusher-v4_333_100_25_1_noise=1,-70.96159383612041
SAC_0_30000_Pusher-v4_333_100_25_1_noise=29,-67.62892254515052
SAC_0_30000_Pusher-v4_333_100_25_1_noise=16,-72.74618970234113
SAC_0_30000_Pusher-v4_333_100_25_1_noise=31,-70.82991185284283
SAC_0_30000_Pusher-v4_333_100_25_1_noise=13,-73.30601683946489
SAC_0_30000_Pusher-v4_333_100_25_1_noise=50,-70.67537099665552
