model_name,average_reward
SAC_0_30000_Pusher-v4_333_100_25_1_policy=15,-73.62638121070235
SAC_0_30000_Pusher-v4_333_100_25_1_policy=6,-71.08355314381271
SAC_0_30000_Pusher-v4_333_100_25_1_policy=8,-71.80442165886288
SAC_0_30000_Pusher-v4_333_100_25_1_policy=4,-68.77659672575251
SAC_0_30000_Pusher-v4_333_100_25_1_policy=29,-69.04703203678932
SAC_0_30000_Pusher-v4_333_100_25_1_policy=35,-68.81443998996656
SAC_0_30000_Pusher-v4_333_100_25_1_policy=10,-68.26568578260868
SAC_0_30000_Pusher-v4_333_100_25_1_policy=28,-73.8270460334448
SAC_0_30000_Pusher-v4_333_100_25_1_policy=18,-70.6008541605351
SAC_0_30000_Pusher-v4_333_100_25_1_policy=11,-68.5920442742475
SAC_0_30000_Pusher-v4_333_100_25_1_policy=7,-68.18303063879598
SAC_0_30000_Pusher-v4_333_100_25_1_policy=9,-71.9560007257525
SAC_0_30000_Pusher-v4_333_100_25_1_policy=2,-70.87365028762542
SAC_0_30000_Pusher-v4_333_100_25_1_policy=1,-72.13899891304348
SAC_0_30000_Pusher-v4_333_100_25_1_policy=45,-73.68553535785952
SAC_0_30000_Pusher-v4_333_100_25_1_policy=17,-72.47324802341137
SAC_0_30000_Pusher-v4_333_100_25_1_policy=32,-68.96951633444816
SAC_0_30000_Pusher-v4_333_100_25_1_policy=16,-74.54986094314381
SAC_0_30000_Pusher-v4_333_100_25_1_policy=49,-70.23932290301003
SAC_0_30000_Pusher-v4_333_100_25_1_policy=37,-70.19956687959866
SAC_0_30000_Pusher-v4_333_100_25_1_policy=47,-72.5635498896321
SAC_0_30000_Pusher-v4_333_100_25_1_policy=34,-73.6802942541806
SAC_0_30000_Pusher-v4_333_100_25_1_policy=14,-68.5004932006689
SAC_0_30000_Pusher-v4_333_100_25_1_policy=31,-71.93433121070234
SAC_0_30000_Pusher-v4_333_100_25_1_policy=24,-67.62013835785953
SAC_0_30000_Pusher-v4_333_100_25_1_policy=41,-71.91486846488294
SAC_0_30000_Pusher-v4_333_100_25_1_policy=22,-70.80032724080267
SAC_0_30000_Pusher-v4_333_100_25_1_policy=39,-68.53236859197324
SAC_0_30000_Pusher-v4_333_100_25_1_policy=43,-68.74665642809364
SAC_0_30000_Pusher-v4_333_100_25_1_policy=3,-68.48246044481606
SAC_0_30000_Pusher-v4_333_100_25_1_policy=21,-71.19335710033445
SAC_0_30000_Pusher-v4_333_100_25_1_policy=40,-71.10816135117058
SAC_0_30000_Pusher-v4_333_100_25_1_policy=26,-69.37187840468228
SAC_0_30000_Pusher-v4_333_100_25_1_policy=12,-68.83010708695652
SAC_0_30000_Pusher-v4_333_100_25_1_policy=5,-71.8381686722408
SAC_0_30000_Pusher-v4_333_100_25_1_policy=25,-72.51108185953176
SAC_0_30000_Pusher-v4_333_100_25_1_policy=38,-70.2333095083612
SAC_0_30000_Pusher-v4_333_100_25_1_policy=33,-70.29501333110368
SAC_0_30000_Pusher-v4_333_100_25_1_policy=46,-72.62190626755853
SAC_0_30000_Pusher-v4_333_100_25_1_policy=27,-75.54110798662208
SAC_0_30000_Pusher-v4_333_100_25_1_policy=48,-70.97310957859531
SAC_0_30000_Pusher-v4_333_100_25_1_policy=19,-72.6530933444816
SAC_0_30000_Pusher-v4_333_100_25_1_policy=13,-71.21452926755852
SAC_0_30000_Pusher-v4_333_100_25_1_policy=30,-73.0210080167224
SAC_0_30000_Pusher-v4_333_100_25_1_policy=42,-68.46061682943144
SAC_0_30000_Pusher-v4_333_100_25_1_policy=44,-68.00695381270903
SAC_0_30000_Pusher-v4_333_100_25_1_policy=23,-67.86990114381271
SAC_0_30000_Pusher-v4_333_100_25_1_policy=50,-74.57525855518395
SAC_0_30000_Pusher-v4_333_100_25_1_policy=36,-73.21510902006689
SAC_0_30000_Pusher-v4_333_100_25_1_policy=20,-73.56209191304347
SAC_0_30000_Pusher-v4_333_100_25_1_policy=63,-74.524592090301
SAC_0_30000_Pusher-v4_333_100_25_1_policy=94,-74.0305711973244
SAC_0_30000_Pusher-v4_333_100_25_1_policy=84,-72.54267038461538
SAC_0_30000_Pusher-v4_333_100_25_1_policy=83,-73.06380120735787
SAC_0_30000_Pusher-v4_333_100_25_1_policy=68,-72.25439562541807
SAC_0_30000_Pusher-v4_333_100_25_1_policy=55,-68.34221416722409
